sentenceID,sentence,source,source_type,relationship,target,target_type
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts in the 1970s and 1980s,PROCESS,CAUSES,observed loss of woody vegetation cover,CHANGE
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",observed loss of woody vegetation cover,CHANGE,AFFECTS,woody vegetation cover,LULC
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",large parts of the Sahel,LOC,ARE_DEGRADED,degraded land,LULC
2,'The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,,,,,
4,in this region has been dominated over the past three decades by production,,,,,
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",natural vegetation,LULC,CHANGE_TO,farmland,LULC | HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",natural vegetation,LULC,DEGRADES,degraded,LULC | HIGH
8,"Conversely the decrease in the herbaceous standing, due to the shortening of the period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",herbaceous standing,CHANGE,DECREASES_BY,period,DATE
8,"Conversely the decrease in the herbaceous standing, due to the shortening of the period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",cultivated and cleared fields,PROCESS,EXTENDS,fields,PERCENT
8,"Conversely the decrease in the herbaceous standing, due to the shortening of the period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",grazing,cattle,AFFECTS,herbaceous standing,LULC
8,"Conversely the decrease in the herbaceous standing, due to the shortening of the period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",landscape discontinuities,PROCESS,LIMITS,fire,PROCESS
8,"Conversely the decrease in the herbaceous standing, due to the shortening of the period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",fire,PROCESS,AFFECTS,burnt areas,LULC
9,"describes Rwandan as caught in a ""low investment trap"" less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",cropland,LULC,HAS_PROPERTY,irrigation,LULC
9,"describes Rwandan as caught in a ""low investment trap"" less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",cropland,LULC,HAS_PROPERTY,tractors,SURFACE_UNIT
9,"describes Rwandan as caught in a ""low investment trap"" less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",cropland,LULC,HAS_PROPERTY,bank credit,QUANTITY
9,"describes Rwandan as caught in a ""low investment trap"" less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",cropland,LULC,HAS_PROPERTY,government aid,QUANTITY
9,"describes Rwandan as caught in a ""low investment trap"" less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",less than 10%,PERCENT,APPLIES_TO,irrigation,LULC
