sentence_id,sentence,source,source_type,relationship,target,target_type
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land (e.g",droughts,PROCESS,CAUSES,loss,CHANGE
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land (e.g",loss,CHANGE,AFFECTS,woody vegetation cover,LULC
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land (e.g",loss,CHANGE,OCCURS_IN,1970s,DATE
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land (e.g",loss,CHANGE,OCCURS_IN,1980s,DATE
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land (e.g",desertification,PROCESS,CAUSES,loss,CHANGE
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land (e.g",woody vegetation cover,LULC,LOCATED_IN,Sahel,LOC
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land (e.g",degraded land,LULC,LOCATED_IN,Sahel,LOC
1,The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,3 million km 2,SURFACE_UNIT,MEASURES,forests,LULC
1,The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,forests,LULC,LOCATED_IN,West Africa,LOC
1,The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,forests,LULC,LOCATED_IN,Central Africa,LOC
2,"Land use change in the study site, p: ref: 2a, 2b, From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",Land use change,CHANGE,LOCATED_IN,study site,LOC
2,"Land use change in the study site, p: ref: 2a, 2b, From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",increased,CHANGE,OCCURS_DURING,1996 to 2017,TIME_PERIODS
