original_row,authors,source_column,type,term,value,geography,context
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,title,change_process,change,,,Land use and land cover change detection and prediction in Bhutan
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,percentage_change,,12.77%,,observed a significant increase (12.77%) in built
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,percentage_change,,52.88%,,up area from 2002 (52.88%) to 2018
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,percentage_change,,65.5%,,"%) to 2018 (65.5%), followed"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,percentage_change,,15.25%,,forest cover declined drastically (15.25%) followed by
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,percentage_change,,1.01%,,) followed by agriculture (1.01%). Rapid
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,percentage_change,,73.21%,,of the city area (73.21%) with forest
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,percentage_change,,16%,,patches making up only about 16% of the city
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,change_process,change,,,the study period and the change trend is predicted to continue
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,change_process,increase,,,The study observed a significant increase (12.77%) in
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,land_cover,built-up area,,,(12.77%) in built-up area from 2002 (52.88%
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,change_process,increase,,,", followed by a slight increase in the cover of bare"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,land_cover,bare ground,,,"increase in the cover of bare ground. On the contrary,"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,land_cover,forest,,,". On the contrary, forest cover declined drastically (15.25"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,land_cover,forest cover,,,". On the contrary, forest cover declined drastically (15.25%"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,land_cover,forest,,,". These changes have fragmentated forest cover, increased soil/"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,land_cover,forest cover,,,". These changes have fragmentated forest cover, increased soil/gully"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,land_cover,forest,,,(73.21%) with forest significantly reduced to patches making
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,abstract,land_cover,forest,,,specially to protect the existing forest and water resources from further
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,percentage_change,,15.75%,,"m amsl 
With over 15.75% (114,551)"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,percentage_change,,16.32%,,mere 4.28km 2 (16.32%) which are
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,change,,,Land use and land cover change analysis: CA-Markov
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,change,,,in order to predict future change. Markov chain analysis built
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,TerrSet was used to generate transition probability matrix (where the
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,(where the probabilities of transition represent the probability that a
