id,type,text,sentence,article_id,event_id
Article_1_FROM_LULC_0,FROM_LULC,forest,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_TO_LULC_0,TO_LULC,"CHANGE: declined
PROCESS: deforestation
MAGNITUDE: 15%
DATE_RANGE: 2010 to 2020
START_DATE: 2010
END_DATE: 2020",Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_CHANGE_0,CHANGE,declined,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_PROCESS_0,PROCESS,deforestation,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_MAGNITUDE_0,MAGNITUDE,15%,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_DATE_RANGE_0,DATE_RANGE,2010 to 2020,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_START_DATE_0,START_DATE,2010,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_END_DATE_0,END_DATE,2020,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_FROM_LULC_1,FROM_LULC,built-up area,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_TO_LULC_1,TO_LULC,built-up area,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_CHANGE_1,CHANGE,increased,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_PROCESS_1,PROCESS,urbanization,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_MAGNITUDE_1,MAGNITUDE,12.77%,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_DATE_RANGE_1,DATE_RANGE,2002 to 2018,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_START_DATE_1,START_DATE,2002,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_END_DATE_1,END_DATE,2018,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_FROM_LULC_2,FROM_LULC,forest,"On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%).",Article_1,2
Article_1_TO_LULC_2,TO_LULC,"CHANGE: declined
PROCESS: deforestation
MAGNITUDE: 15%
DATE_RANGE: 2010 to 2020
START_DATE: 2010
END_DATE: 2020","On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%).",Article_1,2
