sentence_id,sentence,source,source_type,relationship,target,target_type
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",droughts,PROCESS,CAUSES,loss,CHANGE
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",loss,CHANGE,AFFECTS,woody vegetation,LULC
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",woody vegetation,LULC,CHANGE_TO,degraded land,LULC
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",loss,CHANGE,LOCATED_IN,Sahel,LOC
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",degraded land,LULC,LOCATED_IN,Sahel,LOC
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",droughts,PROCESS,OCCURS_DURING,1970s and 1980s,TIME_PERIODS
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",loss,CHANGE,CAUSES,desertification,PROCESS
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",woody vegetation cover,LULC,CHANGE_TO,degraded land,LULC
1,The forests of West and Central Africa probably originally covered a combined area of about 3 million kmÂ²,forests,LULC,LOCATED_IN,West and Central Africa,LOC
1,The forests of West and Central Africa probably originally covered a combined area of about 3 million kmÂ²,3 million km2,SURFACE_UNIT,MEASURES,forests,LULC
2,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,LOCATED_IN,study site area,LOC
2,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,INCREASES_BY,51.30%,PERCENT
2,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,INCREASES,64%,PERCENT
2,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",40%,PERCENT,FROM_TO,51%,PERCENT
2,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",47%,PERCENT,FROM_TO,64%,PERCENT
2,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",increased,CHANGE,OCCURS_DURING,1996 to 2017,TIME_PERIODS
2,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",loss,CHANGE,AFFECTS,fallows,LULC
3,Agriculture in this region has been dominated over the past three decades by cotton production,cotton production,PROCESS,AFFECTS,agricultural land,LULC
3,Agriculture in this region has been dominated over the past three decades by cotton production,cotton production,PROCESS,OCCURS_DURING,three decades,TIME_PERIODS
4,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",forest land,LULC,DECREASES_BY,half,PERCENT
4,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",decreased,CHANGE,OCCURS_DURING,1984 and 2002,TIME_PERIODS
4,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",half,PERCENT,MEASURES,decreased,CHANGE
4,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",decreased,CHANGE,AFFECTS,forest land,LULC
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",forest,LULC,CHANGE_TO,farmland,LULC
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",woodland,LULC,CHANGE_TO,farmland,LULC
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",tree savanna,LULC,CHANGE_TO,farmland,LULC
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",forest,LULC,CHANGE_TO,degraded savanna,LULC
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",woodland,LULC,CHANGE_TO,degraded savanna,LULC
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",tree savanna,LULC,CHANGE_TO,degraded savanna,LULC
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",26%,PERCENT,MEASURES,converted,CHANGE
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",31%,PERCENT,MEASURES,converted,CHANGE
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",converted,CHANGE,OCCURS_IN,2050,DATE
6,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",forest,LULC,DECREASES_BY,5%,PERCENT
6,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",woodland,LULC,DECREASES_BY,9%,PERCENT
6,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",tree savanna,LULC,DECREASES_BY,17%,PERCENT
6,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",degraded savanna,LULC,INCREASES_BY,9%,PERCENT
6,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",farmland,LULC,INCREASES_BY,22%,PERCENT
6,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",decrease,CHANGE,OCCURS_IN,1990,DATE
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",decrease,CHANGE,AFFECTS,herbaceous,LULC
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",shortening,CHANGE,AFFECTS,fallows,LULC
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",shortening,CHANGE,CAUSES,decrease,CHANGE
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",extension,CHANGE,AFFECTS,cultivated fields,LULC
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",grazing,PROCESS,CAUSES,decrease,CHANGE
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",decrease,CHANGE,AFFECTS,burnt areas,LULC
8,"describes Rwandan agriculture as caught in a 'low investment trap'; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",10%,PERCENT,MEASURES,irrigated,CHANGE
8,"describes Rwandan agriculture as caught in a 'low investment trap'; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",irrigation,PROCESS,AFFECTS,cropland,LULC
8,"describes Rwandan agriculture as caught in a 'low investment trap'; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",10%,PERCENT,MEASURES,cropland,LULC
8,"describes Rwandan agriculture as caught in a 'low investment trap'; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",irrigated,CHANGE,AFFECTS,cropland,LULC
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",weeding,PROCESS,AFFECTS,bare soil,LULC
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",bare soil,LULC,LOCATED_IN,cropped fields,LULC
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",herbaceous vegetation,LULC,LOCATED_IN,fallows,LULC
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",herbaceous vegetation,LULC,LOCATED_IN,rangelands,LULC
10,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years",higher proportion,QUANTITY,MEASURES,grazing land,LULC
10,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years",higher proportion,QUANTITY,OCCURS_IN,1986,DATE
10,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years",croplands,LULC,OCCURS_IN,16 years,TIME_PERIODS
11,"In 1990, woodland and tree savanna were still the dominant land cover types",woodland,LULC,OCCURS_IN,1990,DATE
11,"In 1990, woodland and tree savanna were still the dominant land cover types",tree savanna,LULC,OCCURS_IN,1990,DATE
11,"In 1990, woodland and tree savanna were still the dominant land cover types",dominant,CHANGE,OCCURS_IN,1990,DATE
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",preserved,PROCESS,AFFECTS,shea trees,LULC
