sentence_id,sentence,source,source_type,relationship,target,target_type
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts in the 1970s and 1980s,PROCESS,CAUSES,observed loss of woody vegetation cover,CHANGE
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",observed loss of woody vegetation cover,CHANGE,AFFECTS,woody vegetation cover,LULC
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",large parts of the Sahel,LOC,ARE_DEGRADED,degraded land,LULC
2,'The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,,,NO_RELATIONS_FOUND,,
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,INCREASES_BY,11.3% (from 40% to 51.3%),UNKNOWN
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,INCREASES_BY,17.9% (from 47% to 64%),UNKNOWN
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",fallows,LULC,LOSS,,UNKNOWN
4,in this region has been dominated over the past three decades by production,,,NO_RELATIONS_FOUND,,
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",land,LULC,DECREASED_BY,50%,UNKNOWN
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",land,LULC,OCCURS_DURING,2002,UNKNOWN
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",land,LULC,OCCURS_DURING,1984,UNKNOWN
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",gallery,LOC,NO_CHANGE,,UNKNOWN
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",natural vegetation,LULC,CHANGE_TO,farmland,LULC
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",natural vegetation,LULC,DEGRADES,degraded,LULC
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",26%,PERCENT,MEASURES,proportion of natural vegetation,UNKNOWN
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",31%,PERCENT,MEASURES,proportion of natural vegetation,UNKNOWN
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1975-1990,DATE,OCCURS_DURING,period of observation,UNKNOWN
