Unnamed: 0,id_segment,text_segment,relevance_label,relevance_type_norm,processed_text
1,1-s2.0-S0303243414001718-main_19b,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,"DRIVERS, LULCC","#text: After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land (e.g"
4,1-s2.0-S0006320709005400-main_16b,#text': 'The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,2,LULC,#text: The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2
8,1-s2.0-S0140196322000143-main_121,").'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.2.', '#text': '[Land use ]change in the study site'}, 'p': {'ref': [{'@type': 'figure', '@target': '#fig_1', '#text': '2a'}, {'@type': 'figure', '@target': '#fig_1', '#text': '2b'}], '#text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",2,LULCC,")., head: Land use change in the study site, p: ref: 2a, 2b, From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows"
10,1-s2.0-S0264837715302131-main_119,[Agriculture] in this region has been dominated over the past three decades by [cotton] production,2,"LULC, PRACTICES",Agriculture in this region has been dominated over the past three decades by cotton production
11,1-s2.0-S016788090800131X-main_76,"[Forest] land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery [forest] did not change much",2,LULCC,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much"
15,1-s2.0-S0264837715302131-main_147,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) will be converted to farmland and degraded [savanna] by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",2,LULCC,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively"
21,1-s2.0-S0264837715302131-main_103,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",2,LULCC,"Assuming the dynamics recorded in the second period , the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively"
28,1-s2.0-S0140196310000893-main_115,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",2,"DRIVERS, LULCC, PRACTICES","Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas"
34,1-s2.0-S030438781000043X-mainext_317,"describes Rwandan [agriculture] as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",2,"DRIVERS, PRACTICES","describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce"
39,1-s2.0-S003442571730041X-main_41,"Due to the weeding practice, [bare soil] dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",2,PRACTICES,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands"
58,1-s2.0-S016788090800131X-main_82,"In 1986, the grazing land had much higher proportion of the total regional area than other [land use] types while the size of croplands was substantially high after 16 years (Table )",2,LULCC,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years (Table )"
59,1-s2.0-S0264837715302131-main_74,"In 1990, woodland and tree [savanna] were still the dominant [land cover] types",2,LULC,"In 1990, woodland and tree savanna were still the dominant land cover types"
62,1-s2.0-S003442571730041X-main_4,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of [cultivation] and fallows and are therefore still well preserved",2,PRACTICES,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved"
65,1-s2.0-S0140196322000143-main_273,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing [urban] population of Niamey only 80 km away",2,"DRIVERS, LULCC","In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away"
66,1-s2.0-S0140196313000608-main_184,"In Saloum Senegal, with the increase of cultivated land and shortening of [fallow] cycles, soils have become less fertile close to the villages, although [fallow] land away from the settlement gained in size, mainly due to out-migration",2,PRACTICES,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration"
77,1-s2.0-S0301479717300713-main_134,Irrigation from rivers is regarded as minor driver of [LULCC],2,DRIVERS,Irrigation from rivers is regarded as minor driver of LULCC
86,1-s2.0-S0303243414001718-main_164,"On the one hand, tree growth and [agroforestry] on fields have led to an increase of woody cover in proximity to the village",2,"LULCC, PRACTICES","On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village"
94,1-s2.0-S0140196322000143-main_50,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the [crop] harvest",2,PRACTICES,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest"
95,1-s2.0-S030438781000043X-mainext_563b,"Ratios of [fallow] to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-[fallow] ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-[fallow] is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",2,"LULC, PRACTICES","Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate."""
97,1-s2.0-S0140196314000536-main_305,Regular [cultivation] keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,2,PRACTICES,Regular cultivation keeps the soil penetrable and farmers are aware of the benefits of trees in their fields
101,1-s2.0-S0140196314000536-main_330,"Since the 1960s, the natural vegetation has been completely transformed and today many trees and [shrubs] have become rare or disappeared (Fig",2,LULCC,"Since the 1960s, the natural vegetation has been completely transformed and today many trees and shrubs have become rare or disappeared (Fig"
112,1-s2.0-S0006320709005400-main_5,"The available evidence suggests that [forest] loss and degradation has been caused primarily by agricultural expansion, sometimes facilitated by other human activities such as wood extraction",2,"DRIVERS, LULCC","The available evidence suggests that forest loss and degradation has been caused primarily by agricultural expansion, sometimes facilitated by other human activities such as wood extraction"
137,1-s2.0-S095937809800003X-main_240,"Thus, changes in [land use] strategies result not only in a simple expansion of fields to new and less attractive land",2,"LULCC, PRACTICES","Thus, changes in land use strategies result not only in a simple expansion of fields to new and less attractive land"
155,1-s2.0-S003442571730041X-main_192,"Whereas most [shrubs] are annually coppiced in fields prior to [cultivation], they are left to grow in fallowed fields, leading to a higher shrub/ woody plant cover",2,"LULC, PRACTICES","Whereas most shrubs are annually coppiced in fields prior to cultivation, they are left to grow in fallowed fields, leading to a higher shrub/ woody plant cover"
