sentence_id,query_id,query_text,paper_id,chunk_idx,rank,similarity_score,paper_title,section_name,chunk_text,RELEVENT_RAHAM,RELEVANT_SARAH,COMMENT_SARAH
,Query_5,In Fakara the landscape was converted from a Sahelian savanna to largely eroded agricultural agroforestry parkland during the 20th century,71,13,7,0.552751,Assessment of land use and land cover changes in Kenya's Mt. Elgon forest ecosystem,content,Agroforestry is a set of diverse land management systems that integrate trees and shrubs with crops and/or livestock in space and/or time.,NO,0,general definition/info
,Query_5,In Fakara the landscape was converted from a Sahelian savanna to largely eroded agricultural agroforestry parkland during the 20th century,47,407,8,0.54944789,"7 Agriculture, Forestry and Other Land Uses (AFOLU)",content,Agroforestry is a set of diverse land management systems that integrate trees and shrubs with crops and/or livestock in space and/or time.,NO,0,general definition/info
,Query_4,The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation,18,87,5,0.72528481,Predicting changes in land use/land cover and seasonal land surface temperature using multi-temporal landsat images in the northwest region of Bangladesh,content,"Categories of LULC changes, especially the loss of natural resources (agricultural land and water bodies), create environmental effects by adding loss in biodiversity, destroy habitats that support biodiversity, increase greenhouse effects and surface temperature, disturbs the hydrological cycle and increase surface runoff, soil erosion, and flooding.",YES,0,general definition/info
,Query_4,The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation,19,0,8,0.71111226,Environmental and Sustainability Indicators,abstract,Changes in land use/land cover (LULC) are a global environmental concern that has a significant impact on sustainable land and water resource management and development as well as hydrological processes.,NO,0,general definition/info
,Query_4,The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation,34,32,4,0.73375434,J o u r n a l P r e -p r o o f,content,"Comparing the LULC data of the years 1990, 2000, and 2013, the most obvious LULC changes occurred in the agricultural and forest land use classes (Table 
 (177.8kmÂ²), 12.5% was grassland (29.3 kmÂ²), and 11.4% was wetland (26.7 kmÂ²).",YES,1,we don't know the trend
,Query_1,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",3,6,8,0.68061316,Land Use/Land Cover Changes and Their Driving Factors in the Northeastern Tibetan Plateau Based on Geographical Detectors and Google Earth Engine: A Case Study in Gannan Prefecture,abstract,"During the study period, the grassland area decreased, while the area of forest land and construction land increased to varying degrees.",YES,1,no quantitative
,Query_3,reported a moderate land cover change from 1965 to 2000 a decrease in savanna from 74% to 70% concurring with an expansion of cropland from 17% to 21%,58,52,10,0.68241704,"Analysis of Land Use/Land Cover Change and Its Implication On Natural Resources of the Dedo Watershed, Southwest Ethiopia",content,"e major changes were expansions of cultivation and settlement land and a decline in grazing, dense forest, and light vegetation land use/cover categories.
 )e results indicated that dense vegetation land cover was among the most affected land cover with nearly 14.7 and 23.64% of its total area converted into other LULC types between the 1984 to 2000 and 2000 to 2017 periods, respectively.",YES,2,
,Query_1,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",9,41,10,0.67781043,"Vegetation Trends, Drought Severity and Land Use-Land Cover Change during the Growing Season in Semi-Arid Contexts",content,"Figure | Land Change and Associated Vegetation Trends: With about 90% of the land area in the CDB experiencing negative vegetation trends, we investigated how changes in vegetation productivity (i.e., increasing, stable and decreasing) are associated with land change.",YES,1,"""negative vegetation trends"" not so clear"
,Query_2,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",9,41,8,0.65880084,"Vegetation Trends, Drought Severity and Land Use-Land Cover Change during the Growing Season in Semi-Arid Contexts",content,"Figure | Land Change and Associated Vegetation Trends: With about 90% of the land area in the CDB experiencing negative vegetation trends, we investigated how changes in vegetation productivity (i.e., increasing, stable and decreasing) are associated with land change.",YES,1,"""negative vegetation trends"" not so clear"
,Query_1,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",26,59,2,0.72150999,"Land Use/Land Cover Change Impact on Hydrological Process in the Upper Baro Basin, Ethiopia",content,"Forest land and shrubland decreased after 1987-2002, with -3.41% and -4.65%, respectively (Figure 
 In the last 30 years, the study displays an increase in agriculture, bare land, urban, and shrubland, whereas the forest, grassland, water, and wetland were noted declined.",YES,2,
