Entity,Type
Challenges The,ORG
the last few decades,DATE
LU/LC,ORG
Various LU,PERSON
earth,LOC
increasing,VRC
more than 4000,CARDINAL
100,CARDINAL
forested,LAND_COVER
North,DIRECTION
Europe,LOC
Africa,LOC
the Middle,LOC
East,DIRECTION
the Northeastern Tibetan Plateau Based,LOC
Geographical Detectors,ORG
Google Earth,ORG
Gannan Prefecture,GPE
China,GPE
Tibetan Plateau,LOC
increasing,VRC
the Ganan Prefecture,LOC
2000-2018,DATE
Landsat,PERSON
forest,LAND_COVER
the Google Earth Engine,ORG
1,CARDINAL
between 89.14% and 91.41%,PERCENT
86.55%,PERCENT
2,CARDINAL
forest,LAND_COVER
50% and,PERCENT
25%,PERCENT
decreased,VRC
forest,LAND_COVER
increased,VRC
3,CARDINAL
Gannan Prefecture,GPE
Future Potential Landscape Risk Assessment Using,ORG
Dujiangyan City,GPE
DCEN,ORG
"the years 2025, 2030",DATE
2040,DATE
2018,DATE
2007,DATE
2018,DATE
FPLR,ORG
2008,DATE
south,DIRECTION
west,DIRECTION
China,GPE
Cellular,ORG
Markov,PERSON
CA-Markov,PRODUCT
MC-AHP,ORG
"the years 2025, 2030",DATE
2040,CARDINAL
FPLR,ORG
FPLR,ORG
Road Corridor,PERSON
BRC,ORG
China,GPE
Silk-Road Disaster,ORG
Uganda,GPE
Land Use Land Cover Change,ORG
Uganda,GPE
forest,LAND_COVER
woodland,GPE
15%,PERCENT
Landsat,NORP
first,ORDINAL
annual,DATE
30,CARDINAL
forest,LAND_COVER
the year 2000 to 2020,DATE
Landsat Analysis Ready Data,ORG
85%,PERCENT
the past 20 years,DATE
first,ORDINAL
Two,CARDINAL
India,GPE
two,CARDINAL
Indian,NORP
two,CARDINAL
Indian,NORP
urbanization,LULCC_PROCESS
the years,DATE
two,CARDINAL
Indian,NORP
Surat,PERSON
Bharuch,ORG
2 decades,DATE
Landsat 5 Thematic Mapper,ORG
Landsat 8 OLI,PERSON
NDVI,ORG
LST,ORG
NDVI,ORG
LST,ORG
LST,ORG
increase,VRC
LST,ORG
85%,PERCENT
increase,VRC
Surat,NORP
the past 2 decades,DATE
31%,PERCENT
increase,VRC
Bharuch,GPE
Surat,PERSON
increase,VRC
2.42,CARDINAL
Bharuch,GPE
increased,VRC
2.13,CARDINAL
LST,ORG
NDVI,ORG
two,CARDINAL
increase,VRC
2008,DATE
2016,DATE
North,DIRECTION
South,DIRECTION
Surat,NORP
increased,VRC
urbanization,LULCC_PROCESS
Surat,PERSON
2008,DATE
2016,DATE
north,DIRECTION
south,DIRECTION
Narmada,ORG
urbanization,LULCC_PROCESS
Surat,NORP
Bharuch,ORG
Jimma Geneti District,PERSON
the year 1973-2019,DATE
Five,CARDINAL
USGS,ORG
LULC,GPE
FGD,ORG
forest,LAND_COVER
8632.5,CARDINAL
20.9 %,PERCENT
1973-5647.23,DATE
13.7 %,PERCENT
2019,DATE
forest,LAND_COVER
between 1973 and 2019,DATE
2985.27,CARDINAL
7.22 %,PERCENT
34.6 %,PERCENT
forest,LAND_COVER
1973,DATE
wetlands,LAND_COVER
9919.5,CARDINAL
24.0 %,PERCENT
1973-2000.24,DATE
4.8 %,PERCENT
2019,DATE
wetlands,LAND_COVER
9919.5,CARDINAL
24.0 %,PERCENT
1973-2000.24,DATE
4.8 %,PERCENT
2019,DATE
increased,VRC
18617.0,CARDINAL
45.1 %,PERCENT
27708.1,CARDINAL
67.1 %,PERCENT
908.7,CARDINAL
2.2 %,PERCENT
4436.46,CARDINAL
10.7 %,PERCENT
JGD,ORG
the past 46 years,DATE
Bhutan,GPE
Thimphu,GPE
Markov,PERSON
Rapid,ORG
urbanization,LULCC_PROCESS
Thimphu,GPE
Thimphu,GPE
2050,DATE
increase,VRC
12.77%,PERCENT
2002,DATE
52.88%,PERCENT
2018,DATE
65.5%,PERCENT
increase,VRC
forest,LAND_COVER
15.25%,PERCENT
1.01%,PERCENT
forest,LAND_COVER
increased,VRC
the year,DATE
2050,DATE
73.21%,PERCENT
forest,LAND_COVER
only about 16%,PERCENT
forest,LAND_COVER
ISPRS Journal of Photogrammetry,ORG
2011,DATE
2011,DATE
82%,PERCENT
83%,PERCENT
0.5%,PERCENT
increase,VRC
Between 2001 and 2016,DATE
almost 8%,PERCENT
Nearly 50%,PERCENT
forest,LAND_COVER
forest,LAND_COVER
increasing,VRC
forest,LAND_COVER
15.9%,PERCENT
increase,VRC
4778 km,QUANTITY
2,DATE
7.94%,PERCENT
wetland,LAND_COVER
15.2%,PERCENT
14.5%,PERCENT
increase,VRC
"almost 29,000 km 2",QUANTITY
15 years,DATE
5.6%,PERCENT
increased,VRC
2001-2006,DATE
2011-2016,DATE
increasing,VRC
expanding,VRC
Content,ORG
two,CARDINAL
eight,CARDINAL
two,CARDINAL
Three Decades of Land Use and Land Cover Changes,DATE
Brazilian,NORP
Landsat Archive,PERSON
Earth Engine,NORP
Brazil,GPE
annual,DATE
forest,LAND_COVER
Amazon,ORG
Cerrado,ORG
annual,DATE
Brazilian,NORP
MapBiomas,ORG
annual,DATE
1985,DATE
2017,DATE
Brazil,GPE
forest,LAND_COVER
Landsat,PERSON
Google Earth Engine,ORG
five,CARDINAL
forest,LAND_COVER
forest,LAND_COVER
two,CARDINAL
30,CARDINAL
"75,000",CARDINAL
89%,PERCENT
73 to 95%,PERCENT
The 33 years,DATE
Brazil,GPE
71,CARDINAL
expanded,VRC
46%,PERCENT
1985 to 2017,DATE
172%,PERCENT
86,CARDINAL
MapBiomas,ORG
Brazil,GPE
Bangladesh Configurations of LULC,ORG
Bangladesh,GPE
increased,VRC
summer,DATE
winter,DATE
0.55,CARDINAL
2.54,CARDINAL
1999-2019,DATE
increases,VRC
the last 30 years,DATE
Summer and winter,DATE
more than 50 % and 13 %,PERCENT
35,CARDINAL
2039,DATE
Turkey,GPE
four,CARDINAL
Landsat,PERSON
1985,DATE
2000,DATE
2021,DATE
Belek Tourism Center,ORG
Turkey,GPE
second,ORDINAL
"between 1985 and 2000, 2000",DATE
2021,DATE
1985,DATE
2021,DATE
third,ORDINAL
Belek Tourism Center,ORG
2040,DATE
the Land Change Modeler,ORG
36-year,DATE
forest,LAND_COVER
increased,VRC
11.91%,PERCENT
13.67%,PERCENT
0.82%,PERCENT
22.25%,PERCENT
4.15%,PERCENT
2040,DATE
expand,VRC
5.46%,PERCENT
4.21%,PERCENT
2021,DATE
South,DIRECTION
west,DIRECTION
engag-|,CARDINAL
25,CARDINAL
increased,VRC
"21,360",CARDINAL
10.5%,PERCENT
3152,DATE
1.6%,PERCENT
5721,CARDINAL
2.8%,PERCENT
1823,DATE
0.9%,PERCENT
forest,LAND_COVER
decreased,VRC
-22.1%,PERCENT
1986 to 2018,DATE
deforestation,LULCC_PROCESS
LULCC,ORG
north,DIRECTION
east,DIRECTION
decrease,VRC
south,DIRECTION
Fako,PERSON
Cameroon,GPE
1986,DATE
2018,DATE
Fako,PERSON
Cameroon,GPE
Highlights •,ORG
deforestation,LULCC_PROCESS
1986 to 2018,DATE
forest,LAND_COVER
decreased,VRC
increased,VRC
increase,VRC
decreased,VRC
increased,VRC
The Flexible Spatiotemporal DAta Fusion,ORG
Zhu et al.,PERSON
2016,DATE
FSDAF,ORG
two,CARDINAL
1,CARDINAL
2,CARDINAL
2.0,CARDINAL
2.0,CARDINAL
Spatial,ORG
Two,CARDINAL
2.0,CARDINAL
FSDAF,ORG
three,CARDINAL
two,CARDINAL
Earth,LOC
China,GPE
the Random Forest Classifier,ORG
China,GPE
Ann township,GPE
Myanmar,GPE
Rakhine State,PERSON
Myanmar,GPE
2010 to 2012,DATE
