sentence_id,document_id,sentence_number,sentence_text,similarity_score,matching_query,matching_query_idx
Article_9_40,Article_9,40,"Generally, agriculture and built up areas are increasing at the expense of forest, wetland and woodland.",0.939714,Thus farmland persists and increases each year at the expense of forest woodland and tree savanna . ,229
Article_19_67,Article_19,67,The Atlantic Forest and Pampa biomes also showed a minor trend towards an increase in surface water and higher variation over the time-series period.,0.9337149,In contrast relative net gain in open water bodies was observed in the humid region during the period of 1975 2000 with a slight loss in 2000 2013. ,215
Article_63_5,Article_63,5,"Over the last 33 years, cultivation and settlement land expanded by 15.7% and 0.34%, whereas dense forest, light vegetation, and grazing land declined by 9.2%, 4.97%, and 1.85%, respectively.",0.9305231,"From 1984 to 2001, [tree] savannas, bare soils and agricultural lands increased by 17.55%, 18.79% and 21778.79%, respectively, while woodland, gallery [forest], [shrub] savannas and [[water] bodies] decreased by 22.02%, 5.03%, 40.08% and 31.2%, respectively",94
Article_54_58,Article_54,58,"This, in turn, suggests that addressing the decline in forest cover and waterbodies, the major observed LULC changes in CRV, plays a vital role in improving ecosystem services in the CRV lakes basin.",0.92969704,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_61_22,Article_61,22,"These include two of the top three most threatened ecoregions in the world, the tropical dry forest and tropical/subtropical grasslands and savannahs It has been shown that up to 90% of tropical woodlands were inhabited and shaped by human societies over the past 12,000 years, opposing the view that ""human transformation of terrestrial nature is mostly recent and inherently destructive. """,0.92950904,The Upper Guinean forest is a global biodiversity hotspot and has become one of the most human modified forest ecosystems in the tropics having lost over 80% of its original forest cover with the remainder distributed in a fragmented agriculture forest mosaic,148
Article_84_40,Article_84,40,"In 2009 a quarter of the catchment (25.4%) was under plantation cover type which reduced to 22.5% in 2017 but in both years exceeding the recommended maximum threshold of 20% of catchment for plantation cover types In addition to changes in area for land cover types, co-occurrences of the plantation cover type was also observed especially for tea and plantation forest.",0.9289858,A high increase occurred for farm fallow land rising from 0.022% of the protected area in 1984 to 12.59% in 2013 by which time it was the largest single cover class Fig.4,223
Article_106_92,Article_106,92,"The changes in hydro-morphological cycles, reduction of natural drainage capacity and flooding in densely populated areas are mainly attributable to rapid urbanization.",0.9288447,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_19_66,Article_19,66,"In Amazon biome, we also detected a slight signal of surface water reduction in the 2010s.",0.92856336,In contrast relative net gain in open water bodies was observed in the humid region during the period of 1975 2000 with a slight loss in 2000 2013. ,215
Article_15_5,Article_15,5,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",0.9280769,A high increase occurred for farm fallow land rising from 0.022% of the protected area in 1984 to 12.59% in 2013 by which time it was the largest single cover class Fig.4,223
Article_1_5,Article_1,5,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",0.9280769,A high increase occurred for farm fallow land rising from 0.022% of the protected area in 1984 to 12.59% in 2013 by which time it was the largest single cover class Fig.4,223
