query_id,query_text,query_relevance_label,chunk_level,paper_id,chunk_idx,rank,similarity_score,paper_title,sections_name,chunk_text,chunk_length,paper_abstract
Query_1,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",2,paragraph,11,0,1,0.6637957096099854,Land Use Policy,abstract,"Information on Land Use and Land Cover (LULC) changes and the driving forces behind such modifications underpin a proper understanding of the dynamics of LULC changes. This study aimed to analyse the dynamics of LULC change trends and its driving factors in Jimma Geneti District (JGD) for the year 1973-2019. Five satellite images downloaded from USGS were used to analyze and assess the geospatial and temporal changes in LULC. In addition, in-depth household interviews, key informant interview, focus group discussions (FGD) and field observations were used to address the drivers of LULC changes. The result showed a decline in forest land from 8632.5 ha (20.9 %) in 1973-5647.23 ha (13.7 %) in 2019. The study further revealed that the total of forest land cleared between 1973 and 2019 was estimated to be 2985.27 ha (7.22 %). In other words, 34.6 % of the forest cover that existed in 1973 was lost. Similarly, wetlands declined from 9919.5 ha (24.0 %) in 1973-2000.24 ha (4.8 %) in 2019. Similarly, wetlands declined from 9919.5 ha (24.0 %) in 1973-2000.24 ha (4.8 %) in 2019. On the other hand, cultivated land has increased from 18617.0 ha (45.1 %) to 27708.1 ha (67.1 %). Similarly, the increment in settlement areas has elevated from 908.7 ha (2.2 %) to 4436.46 ha (10.7 %) during the same period. Agricultural expansion, cutting trees for various purposes (such as firewood, charcoal and construction material), overgrazing and the expansion of settlements, were identified as the major proximate causes of these changes. Moreover, the major underlying drivers of LULC changes include population growth, changes in policy and institutions, poverty and lack of awareness on the importance of natural resource conservation for sustainable livelihoods. From this study, it can be concluded that JGD has experienced a significant change in LULC over the past 46 years and were affected both positively and negatively. Hence, a wide range of policy packages are required for sustainable land management practices which take in to account synergies and trade-offs between the various land uses in the study area. The national and local governments should enforce sustainable land management approaches through integrating land use planning and management into all development programmes and projects.",2308,Information on Land Use and Land Cover (LULC) changes and the driving forces behind such modifications underpin a proper understanding of the dynamics of LULC changes. This study aimed to analyse the ...
Query_1,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",2,paragraph,92,0,2,0.6331685781478882,ISPRS Journal of Photogrammetry and Remote Sensing,abstract,"Products reveal that land cover change is significant across most land cover classes and time periods. The land cover product was validated using existing reference data from the legacy NLCD 2011 accuracy assessment, applied to the 2011 epoch of the NLCD 2016 product line. The legacy and new NLCD 2011 overall accuracies were 82% and 83%, respectively, (standard error (SE) was 0.5%), demonstrating a small but significant increase in overall accuracy. Between 2001 and 2016, the CONUS landscape experienced significant change, with almost 8% of the landscape having experienced a land cover change at least once during this period. Nearly 50% of that change involves forest, driven by change agents of harvest, fire, disease and pests that resulted in an overall forest decline, including increasing fragmentation and loss of interior forest. Agricultural change represented 15.9% of the change, with total agricultural spatial extent showing only a slight increase of 4778 km 2 , however there was a substantial decline (7.94%) in pasture/hay during this time, transitioning mostly to cultivated crop. Water and wetland change comprised 15.2% of change and represent highly dynamic land cover classes from epoch to epoch, heavily influenced by precipitation. Grass and shrub change comprise 14.5% of the total change, with most change resulting from fire. Developed change was the most persistent and permanent land change increase adding almost 29,000 km 2 over 15 years (5.6% of total CONUS change), with southern states exhibiting expansion much faster than most of the northern states. Temporal rates of developed change increased in 2001-2006 at twice the rate of 2011-2016, reflecting a slowdown in CONUS economic activity. Future NLCD plans include increasing monitoring frequency, reducing latency time between satellite imaging and product delivery, improving accuracy and expanding the variety of products available in an integrated database.",1955,Products reveal that land cover change is significant across most land cover classes and time periods. The land cover product was validated using existing reference data from the legacy NLCD 2011 accu...
Query_1,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",2,paragraph,43,0,3,0.6078627109527588,"Annual emissions of carbon from land use, land-use change, and forestry from 1850 to 2020",abstract,"Estimates of the annual emissions of carbon from land use, land-use change, and forestry (LULUCF) are important for constructing global, regional, and national carbon budgets, which in turn help predict future rates of climate change and define potential strategies for mitigation. Here, we update a long-term (1850-2020) series of annual national carbon emissions resulting from LULUCF (https://doi.org/10.7910/DVN/U7GHRH, Houghton and Castanho, 2023), based largely, after 1960, on statistics of land use from the Food and Agriculture Organization (FAO) of the United Nations (http://www.fao.org/faostat/en/#data/, FAO, 2021). Those data suggest that rates of deforestation in the tropics (and thus net emissions of carbon) have decreased over the last 10 years (2011)(2012)(2013)(2014)(2015)(2016)(2017)(2018)(2019)(2020). The data also indicate that the net loss of tropical forest area was greater than the net gain in agricultural lands, and we explore four alternative explanations for this apparent forest conversion, one of which is shifting cultivation. We also discuss how opposing trends in recent estimates of tropical deforestation (and emissions) might be reconciled. The calculated emissions of carbon attributable to LULUCF approximate the anthropogenic component of terrestrial carbon emissions, but limiting national carbon accounting to the anthropogenic component may also limit the potential for managing carbon on land.",1442,"Estimates of the annual emissions of carbon from land use, land-use change, and forestry (LULUCF) are important for constructing global, regional, and national carbon budgets, which in turn help predi..."
Query_1,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",2,paragraph,98,0,4,0.592052161693573,"The impact of land use and land cover changes on socioeconomic factors and livelihood in the Atwima Nwabiagya district of the Ashanti region, Ghana",abstract,"Land use and land cover change (LULCC) is a general term for the human modification of Earth's terrestrial surface. These modifications come by direct and indirect activities of human actions when securing essential resources. Therefore, it is necessary to analyze these land changes for the best management of natural resources and to ensure better livelihood of the inhabitants.
The influx of population from the Kumasi metropolis and peripheral areas coupled with urbanization is causing rapid changes to LULC in the Atwima Nwabiagya District. This has put pressure on the land cover especially in the forest cover areas and has affected the socioeconomic activities in the district. In view of this problem, this research sought to map and analyze the spatio-temporal LULCC patterns using multi-temporal satellite images from 1986-2019 and to identify the socioeconomic factors and their impact of LULC on the study area. Seven LULC classes were identified including; bare land, closed forest, cropland, open forest, savannah, settlement, and water. The results showed that during the period under review  there have been losses of 4178.5 hectares (7%) in closed and open forest and bare land whilst crop land and settlement have seen an increase of 21685.3 hectares (37%). In all, settlement establishment as a result of population increase, commercial activities, and porous land tenure system was identified as the main factors for LULCC in the Atwima Nwabiagya District.",1478,Land use and land cover change (LULCC) is a general term for the human modification of Earth's terrestrial surface. These modifications come by direct and indirect activities of human actions when sec...
Query_1,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",2,paragraph,67,0,5,0.5902581810951233,"Predicting the Future Land Use and Land Cover Changes for Bhavani Basin, Tamil Nadu, India Using QGIS MOLUSCE Plugin",abstract,"Human population growth, movement, and 9 demand have a substantial impact on land use 10 and land cover dynamics. Thematic maps of land 11 use and land cover (LULC) serve as a reference 12 for scrutinizing, source administration, and 13 forecasting, making it easier to establish plans 14 that balance preservation, competing uses, and 15 growth compressions. The objective of this study 16 is to identify the changeover of land-use changes 17 in the Bhavani basin for the two periods 2005 18 and 2015, as well as to forecast and establish 19 potential land-use changes in the year 2025 and 20 2030 by using QGIS 2.18.24 version MOLUSCE",636,"Human population growth, movement, and 9 demand have a substantial impact on land use 10 and land cover dynamics. Thematic maps of land 11 use and land cover (LULC) serve as a reference 12 for scrutin..."
Query_2,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",2,paragraph,1,0,1,0.5963969230651855,Environmental & Socio-economic Studies,content,"Introduction: According to the literature, land use is a landbased feature of what can be built and what the land can be used for. It identifies what types of communities, environments, or settlements can be used for a particular kind of ground (ABARES, 2020). Land use is also a manifestation of various human activities to exploit the landscape. Therefore, landuse change is seen as a human activity to change the natural landscape and emphasize the role and function of land for socio-economic activities 
Urbanization is a socio-economic process manifested by a rapid increase in the number and size of urban population characteristics. It is also defined as urban expansion, as the process of concentrating the population into cities, or as the rapid formation of urban population points based on production and life development 
Scientists also examine and observe urbanization from many different angles  | Land use change in the World: a literature review: Land area of the world is estimated at 13 billion hectares, of which agricultural land accounts for 37.6%, equivalent to 4.9 billion hectares 
Built-up land occupied a relatively small area of about 1-3% in 2005, but it is expected to increase to about 260 to 420 million hectares (about 4-5%) by 2050 (ELECTRIS ET AL., 2009). As for urban land, this area could expand from 40 to 143 million hectares in about 45 years, from 2007 to 2050 (SETO ET AL., 2010). The annual increase in built-up land in developing countries is about 3.6%, while 2.9% is the average increase in industrial countries. The Pacific and Southeast Asia regions have witnessed considerable land conversion rates from 1990 to 2000, at 7.2% and 6.4%, respectively (ANGEL 
Along with labour and capital, the land is a crucial factor for production in classical economics, and land use is considered the agricultural economy's backbone 
Although land-use conversion is essential to promote social progress and economic development, it also has many undesirable effects. These impacts are divided into three main categories: displacement and loss of housing, loss of livelihoods, and environmental pollution thus degradation with  | Methodology:  | Research area: Vietnam is the centre of Southeast Asia and is located on the eastern edge of the Indo-Chinese peninsula. Vietnam's land border is 4,639 km long, bordering the South China Sea (in Vietnam known as the East Sea) and the Gulf of Thailand. In the north, Vietnam borders China; and in the west Laos and Cambodia. The length of the country from north to south is 1,650 km, while the narrowest position, east to west, is nearly 50 km. It is a tropical country, with most of the area being hilly (accounting for half of the territory), and where the terrain is mainly low mountains. With a coastline of 3,260 km, Vietnam is among those countries with a high coastline index compared with its territorial area. Accordingly, on average, there is 1 km of coastline for every 10 km 2 of land, six times higher than the world average. With an area stretching from north to south, Vietnam's zoning also goes through different historical periods.   | Data source: As this study's primary purpose was to evaluate land-use change, the author had to combine many different methods and data sources for comparison. First, raw land cover data were collected from the JAXA. These maps were computed in 2007 for all three regions, 2015 for the North (including Red River Delta and Northen Midland and Mountains), and 2017 for the Central and South regions (the remaining regions). While the North's area of spatial resolution is 15 m, this figure is 10 m for the other two regions. Overall accuracy is above 90% (kappa factor 0.9). This map data has a higher spatial accuracy and resolution than other overlay maps in Vietnam, ensuring user reliability (DUONG  | Results -land use change in Vietnam: Due to Vietnam's complicated location and topography, its land resources are very diverse and differentiated from plains to high mountains, from north to south, and from east to west. Land in this country can be classified into 13 main land groups and 31 categories. Almost all of the population lives in rural areas and works in the agricultural sector, so one-third of the land is used for agriculture (FAO 2019). According to land use purposes, the land is divided into three main land groups: non-agricultural, agricultural, and unused land. Agricultural land is divided into ground for production agriculture, forestry land, aquaculture land, salt-making, and other agriculture. Land for production agriculture includes annual cropland (paddy land and other short-term cropland) and perennial cropland. The forest land is divided into protection, production, and special-use forest land. Fig. 
Land conversion has different effects the types of land use. Paddy land in Vietnam is concentrated in two main areas, the Mekong Delta and Red River Delta Delta (Fig. 
There is a mismatch when comparing data published by the GSO with calculations based on land cover maps. While non-agricultural land is reported to have increased, the area of this GIS layer showed a 21.5% decrease when verified by the land cover map. Published figures are those used in the planning scheme for projects. However, slow progress, inefficiency, misuse, and waste still occur in many projects. In 2019, the progress of 1,878 projects were delayed. Land acquisition and land clearance were the main reasons for this delay (1,267 projects). 73,992.96 ha of land was found to be violated and delayed in project construction. In particular, construction in industrial zones is rampant, but the occupancy rate remains low, leading to a decrease in land-use efficiency. By 2019, Vietnam had established 373 industrial zones with a total area of 114.4 thousand hectares, accounting for 56.9% of the total planned land area. Of these, 280 Industrial Zones were in operation, and 93 are still in the construction and infrastructure stage. The occupancy rate in industrial zones is low, at about 57.4%. Some localities also have lower occupancy rates than the national average (Data collected from the reports of MoNRE). These figures indicate a waste of land resources.
According to the statistics, the evolution of land use purpose is occurring in all localities (Fig.  | Discussion: This study's main aim was to explore land use pattern changes, emphasizing the conversion of agricultural land to built-up land (urban land) in Vietnam. Moreover, rapid urbanization has been a significant highlight in the development process of Vietnam in recent decades. In 1990, the number of urban areas in Vietnam was about 500 and the urbanization rate was about 17%. By 2019, the number of urban areas in Vietnam had increased to 846 (MONRE, 2019). In 1986, Vietnam's urban population was under 13 million, but by 2019, that number was 37 million (WORLD BANK, 2020a).
Urban economic growth is twice the national average, contributing over half of the gross domestic product ( 
According to the objective rule, urbanization must originate from non-agricultural economic development such as industry, commerce, and services (SATTERTHWAITE ET AL., 2010) to replace the agricultural economy gradually. However, unlike other countries in the region and the world, urbanization in Vietnam is characterized by rural urbanization. That is, it transforms agricultural villages and communities into urban districts and wards. Urban developments and growth in Vietnam are late and slower than in some regional countries 
The trend of changing land use purposes in urban areas is to reduce agricultural land, unused land and increase non-agricultural land. Growth in the non-agricultural land area is mainly due to expanding urban land, land for industrial zones, and construction activities. The size of urban land increased due to the conversion from agricultural land, of which rice land was the primary type. In 2011-2015, following the data from MoNRE, Vietnam converted 89.4 thousand hectares of rice land to urban land. In a broader view for the 2007-2017 period, the converted area is estimated at 125.9 thousand ha (data calculated by the author through the land cover maps). This transition is mainly concentrated in three regions: the Southeast, the Red River Delta, and the Mekong River Delta.
Conversion of agricultural land for investment in urban, industrial, and economic zone projects occurs in major urban areas like Binh 
The current status of such land conversion has a significant impact on people's lives, especially those living in peri-urban areas. This problem occurs in Vietnam and occurs in developing countries with high urbanization rates (KUSILUKA ET AL., 2011; AUTAM & ANDERSEN, 2016; NIKUZE ET AL., 2019). Socially, the lifestyle change from rural to urban residents has changed cultural standards and leads to a transformation in the social lives and behavior of each suburban resident. Urbanization also transforms kinship relationships, village communities have multidimensional social relationships, which are complicated by combining many classes of the population and the transformation of orgaizational models. This is one of the characteristics of urban communities (MINISTRY OF CONSTRUCTION, 2020). Land use change has also created social conflicts and intensified violence due to land contention and because the land is the primary source of livelihood for many peri-urban farming households. Land in the peri-urban area is becoming increasingly scarce, leading to higher land prices in this area, inadvertently creating psychological pressure on people. Consequently, the poor may be pushed further out of town/city or are forced into areas of land of little value or which lack public services.
In economic terms, urbanization creates a change in land use in the peri-urban area. The transfer of a large part of the agricultural land into the construction or industrial zones and urban residential areas has resulted in loss of the livelihoods of many farmers. This problem forces them to switch from agricultural production to non-agricultural activities  | Conclusions: Urban expansion and rural restructuring due to land-use conflicts are increasing worldwide 
The study data also showed that land conversion is mainly concentrated in the North Central and Central Coast areas. The percentage of agricultural and non-agricultural land in these regions' provinces has mostly increased by over 7%, while unused land decreased by over 100%. These regions contain many of Vietnam's cities. However, the conversion of land from agriculture to urban areas is concentrated in two regions: the Southeast and the Red River Delta. Furthermore, the transition trend has also shifted to the East of Vietnam to take advantage of the long coastline. This transformation aims to help the development of coastal tourism and facilitate domestic and international trade.
The study has shown the socio-economic impacts on the lives of peri-urban residents after converting agricultural land. Economically, urbanization and industrialization have left 11 million hectares of land abandoned and in danger of degradation and reduces the quality and productivity of agricultural products, thereby significantly affecting the income of farmers. In addition, the transformation of agricultural land to non-agricultural also forces farmers to switch to non-agricultural activities. It is a challenge for farmers because it requires time and investment in both money and intelligence to adapt to the new conditions. Socially, people's lifestyles also require a transition from rural to urban. The change in land use has also created social conflicts and intensified violence due to land disputes.",11742,"Land-use change is a human process aimed at transforming the natural landscape and emphasizing the role and function of land for socio-economic activities. However, we do not know how the land transit..."
Query_2,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",2,paragraph,92,0,2,0.5867984294891357,ISPRS Journal of Photogrammetry and Remote Sensing,abstract,"Products reveal that land cover change is significant across most land cover classes and time periods. The land cover product was validated using existing reference data from the legacy NLCD 2011 accuracy assessment, applied to the 2011 epoch of the NLCD 2016 product line. The legacy and new NLCD 2011 overall accuracies were 82% and 83%, respectively, (standard error (SE) was 0.5%), demonstrating a small but significant increase in overall accuracy. Between 2001 and 2016, the CONUS landscape experienced significant change, with almost 8% of the landscape having experienced a land cover change at least once during this period. Nearly 50% of that change involves forest, driven by change agents of harvest, fire, disease and pests that resulted in an overall forest decline, including increasing fragmentation and loss of interior forest. Agricultural change represented 15.9% of the change, with total agricultural spatial extent showing only a slight increase of 4778 km 2 , however there was a substantial decline (7.94%) in pasture/hay during this time, transitioning mostly to cultivated crop. Water and wetland change comprised 15.2% of change and represent highly dynamic land cover classes from epoch to epoch, heavily influenced by precipitation. Grass and shrub change comprise 14.5% of the total change, with most change resulting from fire. Developed change was the most persistent and permanent land change increase adding almost 29,000 km 2 over 15 years (5.6% of total CONUS change), with southern states exhibiting expansion much faster than most of the northern states. Temporal rates of developed change increased in 2001-2006 at twice the rate of 2011-2016, reflecting a slowdown in CONUS economic activity. Future NLCD plans include increasing monitoring frequency, reducing latency time between satellite imaging and product delivery, improving accuracy and expanding the variety of products available in an integrated database.",1955,Products reveal that land cover change is significant across most land cover classes and time periods. The land cover product was validated using existing reference data from the legacy NLCD 2011 accu...
Query_2,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",2,paragraph,11,0,3,0.5697697401046753,Land Use Policy,abstract,"Information on Land Use and Land Cover (LULC) changes and the driving forces behind such modifications underpin a proper understanding of the dynamics of LULC changes. This study aimed to analyse the dynamics of LULC change trends and its driving factors in Jimma Geneti District (JGD) for the year 1973-2019. Five satellite images downloaded from USGS were used to analyze and assess the geospatial and temporal changes in LULC. In addition, in-depth household interviews, key informant interview, focus group discussions (FGD) and field observations were used to address the drivers of LULC changes. The result showed a decline in forest land from 8632.5 ha (20.9 %) in 1973-5647.23 ha (13.7 %) in 2019. The study further revealed that the total of forest land cleared between 1973 and 2019 was estimated to be 2985.27 ha (7.22 %). In other words, 34.6 % of the forest cover that existed in 1973 was lost. Similarly, wetlands declined from 9919.5 ha (24.0 %) in 1973-2000.24 ha (4.8 %) in 2019. Similarly, wetlands declined from 9919.5 ha (24.0 %) in 1973-2000.24 ha (4.8 %) in 2019. On the other hand, cultivated land has increased from 18617.0 ha (45.1 %) to 27708.1 ha (67.1 %). Similarly, the increment in settlement areas has elevated from 908.7 ha (2.2 %) to 4436.46 ha (10.7 %) during the same period. Agricultural expansion, cutting trees for various purposes (such as firewood, charcoal and construction material), overgrazing and the expansion of settlements, were identified as the major proximate causes of these changes. Moreover, the major underlying drivers of LULC changes include population growth, changes in policy and institutions, poverty and lack of awareness on the importance of natural resource conservation for sustainable livelihoods. From this study, it can be concluded that JGD has experienced a significant change in LULC over the past 46 years and were affected both positively and negatively. Hence, a wide range of policy packages are required for sustainable land management practices which take in to account synergies and trade-offs between the various land uses in the study area. The national and local governments should enforce sustainable land management approaches through integrating land use planning and management into all development programmes and projects.",2308,Information on Land Use and Land Cover (LULC) changes and the driving forces behind such modifications underpin a proper understanding of the dynamics of LULC changes. This study aimed to analyse the ...
Query_2,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",2,paragraph,59,0,4,0.5646448731422424,Global land use changes are four times greater than previously estimated,abstract,"Quantifying the dynamics of land use change is critical in tackling global societal challenges such as food security, climate change, and biodiversity loss. Here we analyse the dynamics of global land use change at an unprecedented spatial resolution by combining multiple open data streams (remote sensing, reconstructions and statistics) to create the HIstoric Land Dynamics Assessment + (HILDA +). We estimate that land use change has affected almost a third (32%) of the global land area in just six decades (1960-2019) and, thus, is around four times greater in extent than previously estimated from long-term land change assessments. We also identify geographically diverging land use change processes, with afforestation and cropland abandonment in the Global North and deforestation and agricultural expansion in the South. Here, we show that observed phases of accelerating (~1960-2005) and decelerating (2006-2019) land use change can be explained by the effects of global trade on agricultural production.",1016,"Quantifying the dynamics of land use change is critical in tackling global societal challenges such as food security, climate change, and biodiversity loss. Here we analyse the dynamics of global land..."
Query_2,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",2,paragraph,66,0,5,0.5544105172157288,"Analysis of carbon emissions from land cover change during 2000 to 2020 in Shandong Province, China",abstract,"Land cover change affects the carbon emissions of ecosystems in some way. The qualitative and quantitative understanding of carbon emissions from human activities (e.g., land cover change, industrial production, etc.) is highly significant for realizing the objective of carbon neutrality. Therefore, this paper used GlobeLand30 land cover maps, annual average normalised difference vegetation index (NDVI) data, annual average net ecosystem productivity (NEP) data and statistical yearbook data from 2000 to 2020 to explore the relationship between land cover change and carbon emissions. Specifically, it included land cover change, carbon storage changes influenced by land cover change, spatial and temporal analysis of carbon sources and sinks, land use intensity change and anthropogenic carbon emissions. The results of the study show that the main land cover changes in Shandong province during 2000-2020 was cultivated land conversion to artificial surfaces. Among them, the area of cultivated land converted to artificial surfaces from 2000 to 2010 was 4930.62 km 2 , and the proportion of cultivated land converted to artificial surfaces from 2010 to 2020 was as high as 78.35%. The total carbon stock of vegetation affected by land cover change decreased by 463.96 × 10 4 t and 193.50 × 10 4 t in 2000-2010 and 2010-2020 respectively. The spatial and temporal distribution of carbon sources and sinks differed more markedly from 2000 to 2020, and land use intensity changes in Shandong Province showed an upward trend. Of the total energy production, industry has the largest energy consumption, followed closely by total energy consumption in transportation, storage and postal services.
Phenomena such as global warming, melting glaciers, rising sea levels and hazy weather indicate that climate change brought about by the greenhouse effect is seriously affecting the future survival of mankind 1-3 . The Earth's climate is witnessing changes due to the influence of various factors. In recent years, global warming has become a hot issue for research. Emissions of greenhouse gases, e.g., carbon dioxide (CO 2 ) emissions, are regarded as a major contributor to global warming 4-6 . Studies have shown that the global average surface temperature has increased by 0.74 °C since the last century 7 , and atmospheric CO 2 concentrations have increased by up to 1.9 ppm per year 8 . The Global Carbon Budget Project shows that emissions of fossil CO 2 will increase by 0.5% in 2019, with emissions falling in the US and EU28 and increasing in China, India and the rest of the world 9 . With increasing levels of urbanisation and industrialisation, human activities are emitting large amounts of CO 2 into the atmosphere. Of these, land cover change is an important contributor to carbon emissions, making up roughly one-third of the carbon emissions generated by human activities from the industrial revolution 10 , contributing to increasing concentrations of CO 2 . Therefore, the study of the interrelationship between land cover change and carbon emissions is of great importance to further reduce carbon emissions.
The implementation of the reform and opening-up policy has led to a significant acceleration of urbanisation in China, most notably the dramatic expansion of artificial surfaces. Land cover change, energy consumption and other related human activities are the sources of carbon emissions and account for a relatively large share. Rapid economic development and high urbanisation levels in China's cities are hotspots for studying carbon emissions caused by land cover change. For example, Deng et al. analysed the influence of expanding construction land on carbon emissions related to energy in China and its provinces from 2001 to 2011 11 . Lu et al. explored the development process and characteristics of regional differences in carbon emissions from agricultural land in 31",3910,"Land cover change affects the carbon emissions of ecosystems in some way. The qualitative and quantitative understanding of carbon emissions from human activities (e.g., land cover change, industrial ..."
