SENTENCE_ID,TEXT_SEGMENT,SOURCE,RELATION,TARGET
1-s2.0-S0140196313000608-main.pdf.tei_110,Other areas have experienced a decrease in cropland despite a population increase,cropland,DECREASE,null
1-s2.0-S0303243414001718-main.pdf.tei_34,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",woody cover,INCREASE,null
1-s2.0-S0264837715302131-main.pdf.tei_76,"Assuming the dynamics recorded in the second period , the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",forest,DECREASES_BY,5%
1-s2.0-S0264837715302131-main.pdf.tei_76,"Assuming the dynamics recorded in the second period , the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",woodland,DECREASES_BY,9%
1-s2.0-S0264837715302131-main.pdf.tei_76,"Assuming the dynamics recorded in the second period , the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",tree savanna,DECREASES_BY,17%
1-s2.0-S0264837715302131-main.pdf.tei_76,"Assuming the dynamics recorded in the second period , the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",degraded savanna,INCREASES_BY,9%
1-s2.0-S0264837715302131-main.pdf.tei_76,"Assuming the dynamics recorded in the second period , the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",farmland,INCREASES_BY,22%
1-s2.0-S0006320709005400-main.pdf.tei_3,"The available evidence suggests that forest loss and degradation has been caused primarily by agricultural expansion, sometimes facilitated by other human activities such as wood extraction",forest,DECREASE,null
1-s2.0-S0006320709005400-main.pdf.tei_3,"The available evidence suggests that forest loss and degradation has been caused primarily by agricultural expansion, sometimes facilitated by other human activities such as wood extraction",agricultural,INCREASE,null
1-s2.0-S0304387816300670-main.pdf.tei_31,"(2006), who estimate an increase in the national urban share of 0.45 percent with a reduction in national rainfall of 1 percent",urban share,INCREASES_BY,0.45 percent
