sentenceID,sentence,source,source_type,relationship,target,target_type,confidence
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts,PROCESS,CAUSES,observed loss,CHANGE,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",observed loss,CHANGE,AFFECTS,woody vegetation cover,LULC,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",woody vegetation cover,LULC,LOST,large parts,QUANTITY,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",large parts,QUANTITY,PART_OF,Sahel,LOC,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",Sahel,LOC,HAS,degraded land,LULC,HIGH
2,'The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,"* The sentence implies that the forests were present in West and Central Africa, which could be represented as a spatial relationship: ""forests",LULC,LOCATED_IN,West and Central Africa,"LOC""",
2,'The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,"* The sentence also implies that there was a certain area of forests, which could be represented as a quantitative relationship: ""forests",LULC,HAS_AREA,3 million km 2,"SURFACE_UNIT""",
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",C,LULC,INCREASES_BY,11.3%,PERCENT,HIGH (from 40% to 51.3%)
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",C,LULC,INCREASES_BY,13.3%,PERCENT,HIGH (from 47% to 64%)
4,in this region has been dominated over the past three decades by production,,,,,,
