sentenceID,sentence,source,source_type,relationship,target,target_type,confidence
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts,PROCESS,CAUSES,loss,CHANGE,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",loss,CHANGE,AFFECTS,woody vegetation cover,LULC,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts,PROCESS,OCCURS_DURING,1970s,DATE,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts,PROCESS,OCCURS_DURING,1980s,DATE,HIGH
2,'The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,forests,LULC,LOCATED_IN,West and Central Africa,LOC,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows","cropped fields, C",LULC,LOCATED_IN,study site area,SURFACE_UNIT,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",40%,PERCENT,FROM_TO,51.3%,PERCENT,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",47%,PERCENT,FROM_TO,64%,PERCENT,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",loss fallows,PROCESS,CAUSES,"cropped fields, C",LULC,HIGH
4,in this region has been dominated over the past three decades by production,,,,,,
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",land,LULC,DECREASED_BY,half,CARDINAL,HIGH
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",land,LULC,OCCURS_DURING,2002,DATE,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",26%,PERCENT,MEASURES,total area of natural vegetation,LULC,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",31%,PERCENT,MEASURES,total area of natural vegetation,LULC,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1975,DATE,OCCURS_DURING,woodland,LULC,"MEDIUM (implied, not explicit)"
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1990,DATE,OCCURS_DURING,woodland,LULC,"MEDIUM (implied, not explicit)"
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",2010,DATE,OCCURS_DURING,woodland,LULC |,
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by, woodland and tree will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded and farmland will increase by 9 and 22% of the total area, respectively",woodland,LULC,DECREASES_BY,5%,PERCENT,HIGH
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by, woodland and tree will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded and farmland will increase by 9 and 22% of the total area, respectively",tree,LULC,DECREASES_BY,9%,PERCENT,HIGH
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by, woodland and tree will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded and farmland will increase by 9 and 22% of the total area, respectively",tree,LULC,DECREASES_BY,17%,PERCENT,HIGH
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by, woodland and tree will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded and farmland will increase by 9 and 22% of the total area, respectively",degraded,LULC,INCREASES_BY,9%,PERCENT,HIGH
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by, woodland and tree will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded and farmland will increase by 9 and 22% of the total area, respectively",farmland,LULC,INCREASES_BY,22%,PERCENT,HIGH
8,"Conversely the decrease in the herbaceous standing, due to the shortening of the period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",herbaceous standing,LULC,DECREASES_BY,period,DATE,HIGH
8,"Conversely the decrease in the herbaceous standing, due to the shortening of the period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",fire,PROCESS,AFFECTS,burnt areas,LULC,HIGH
10,"Due to the weeding practice, dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",weeding practice,PROCESS,CAUSES,dominated,CHANGE,HIGH
10,"Due to the weeding practice, dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",dominated,CHANGE,AFFECTS,cropped fields,LULC,HIGH
10,"Due to the weeding practice, dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",early growing season,TIME,OCCURS_DURING,dominated,CHANGE,HIGH
10,"Due to the weeding practice, dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",fall,TIME,OCCURS_DURING,herbaceous vegetation,LULC,HIGH
