article_id,sentence_index,original_sentence,event_found,from_lulc,to_lulc,change_indicator,lulc_process,magnitude_percent,magnitude_area,date_range,start_date,end_date,location,spatial_scale,spatial_pattern,error
Article_1,0,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,True,original land use/cover type,resulting land use/cover type,"nature of change (conversion, expansion, degradation, restoration, fragmentation)","main causes of change (urbanization, agriculture, climate, policy)",,,,beginning of change period,end of change period,specific geographic location where change occurs,"scale of change (local, regional, national, global)","pattern of change (scattered, clustered, linear, radial)",
Article_1,1,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",True,original land use/cover type,resulting land use/cover type,"nature of change (conversion, expansion, degradation, restoration, fragmentation)","main causes of change (urbanization, agriculture, climate, policy)",,,,beginning of change period,end of change period,specific geographic location where change occurs,"scale of change (local, regional, national, global)","pattern of change (scattered, clustered, linear, radial)",
Article_1,2,"On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%).",True,original land use/cover type,resulting land use/cover type,"nature of change (conversion, expansion, degradation, restoration, fragmentation)","main causes of change (urbanization, agriculture, climate, policy)",,,,beginning of change period,end of change period,specific geographic location where change occurs,"scale of change (local, regional, national, global)","pattern of change (scattered, clustered, linear, radial)",
Article_1,3,Rapid population growth triggered by rural urban migration coupled with hasty socio-economic development post democracy are the main drivers of these changes.,True,original land use/cover type,resulting land use/cover type,"nature of change (conversion, expansion, degradation, restoration, fragmentation)","main causes of change (urbanization, agriculture, climate, policy)",,,,beginning of change period,end of change period,specific geographic location where change occurs,"scale of change (local, regional, national, global)","pattern of change (scattered, clustered, linear, radial)",
Article_1,4,"Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city.",True,original land use/cover type,resulting land use/cover type,"nature of change (conversion, expansion, degradation, restoration, fragmentation)","main causes of change (urbanization, agriculture, climate, policy)",,,,beginning of change period,end of change period,specific geographic location where change occurs,"scale of change (local, regional, national, global)","pattern of change (scattered, clustered, linear, radial)",
Article_1,5,"Prior to this, the area was occupied by terraced agricultural fields and some 13 villages.",True,original land use/cover type,resulting land use/cover type,"nature of change (conversion, expansion, degradation, restoration, fragmentation)","main causes of change (urbanization, agriculture, climate, policy)",,,,beginning of change period,end of change period,specific geographic location where change occurs,"scale of change (local, regional, national, global)","pattern of change (scattered, clustered, linear, radial)",
Article_1,6,"Expansion of Thimphu city in 2002 added local areas of Lanjophaka, Heo-Samteling, Jungshi-Pamtsho, Taba and Dechencholing in the north and Changjiji, Lungtenphu, Simtokha, and Babesa in the south ( Fig.",True,original land use/cover type,resulting land use/cover type,"nature of change (conversion, expansion, degradation, restoration, fragmentation)","main causes of change (urbanization, agriculture, climate, policy)",,,,beginning of change period,end of change period,specific geographic location where change occurs,"scale of change (local, regional, national, global)","pattern of change (scattered, clustered, linear, radial)",
Article_1,7,"The period, 2002-2018 represents a rapid expansion of the city accompanied by expediated socio-economic development that led to significant changes in the city's landscape.",True,original land use/cover type,resulting land use/cover type,"nature of change (conversion, expansion, degradation, restoration, fragmentation)","main causes of change (urbanization, agriculture, climate, policy)",,,,beginning of change period,end of change period,specific geographic location where change occurs,"scale of change (local, regional, national, global)","pattern of change (scattered, clustered, linear, radial)",
Article_1,8,"These expediated changes can be attributed to: i) governments approval for expansion of the city in 2002, followed by the hastened construction of city infrastructure post Bhutan's transition to democracy in 2008.",True,original land use/cover type,resulting land use/cover type,"nature of change (conversion, expansion, degradation, restoration, fragmentation)","main causes of change (urbanization, agriculture, climate, policy)",,,,beginning of change period,end of change period,specific geographic location where change occurs,"scale of change (local, regional, national, global)","pattern of change (scattered, clustered, linear, radial)",
Article_1,9,"The resultant improvement in basic facilities combined with creation of additional jobs further attracted more immigration from rural areas and lesser developed cities, causing a boom in real estate and informal settlements and triggering significant changes in land uses.",True,original land use/cover type,resulting land use/cover type,"nature of change (conversion, expansion, degradation, restoration, fragmentation)","main causes of change (urbanization, agriculture, climate, policy)",,,,beginning of change period,end of change period,specific geographic location where change occurs,"scale of change (local, regional, national, global)","pattern of change (scattered, clustered, linear, radial)",
