paper_id,chunk_idx,TEXT_SEGMENT,SOURCE,RELATION,TARGET,RELATION_VALID,
88,30,"The results of land-use dynamics from 1992 to 2018 showed that shrubland and grassland decreased, with dynamics of -0.79% and -0.22%, respectively.",shrubland,DECREASES_BY,-0.79%,1,
88,30,"The results of land-use dynamics from 1992 to 2018 showed that shrubland and grassland decreased, with dynamics of -0.79% and -0.22%, respectively.",grassland,DECREASES_BY,-0.22%,1,
26,59,"Forest land and shrubland decreased after 1987-2002, with -3.41% and -4.65%, respectively (Figure 
 In the last 30 years, the study displays an increase in agriculture, bare land, urban, and shrubland, whereas the forest, grassland, water, and wetland were noted declined.",Forest land,DECREASES_BY,-3.41%,1,
26,59,"Forest land and shrubland decreased after 1987-2002, with -3.41% and -4.65%, respectively (Figure 
 In the last 30 years, the study displays an increase in agriculture, bare land, urban, and shrubland, whereas the forest, grassland, water, and wetland were noted declined.",shrubland,DECREASES_BY,-4.65%,1,
26,59,"Forest land and shrubland decreased after 1987-2002, with -3.41% and -4.65%, respectively (Figure 
 In the last 30 years, the study displays an increase in agriculture, bare land, urban, and shrubland, whereas the forest, grassland, water, and wetland were noted declined.",agriculture,INCREASE,null,1,
26,59,"Forest land and shrubland decreased after 1987-2002, with -3.41% and -4.65%, respectively (Figure 
 In the last 30 years, the study displays an increase in agriculture, bare land, urban, and shrubland, whereas the forest, grassland, water, and wetland were noted declined.",bare land,INCREASE,null,1,
26,59,"Forest land and shrubland decreased after 1987-2002, with -3.41% and -4.65%, respectively (Figure 
 In the last 30 years, the study displays an increase in agriculture, bare land, urban, and shrubland, whereas the forest, grassland, water, and wetland were noted declined.",urban,INCREASE,null,1,
26,59,"Forest land and shrubland decreased after 1987-2002, with -3.41% and -4.65%, respectively (Figure 
 In the last 30 years, the study displays an increase in agriculture, bare land, urban, and shrubland, whereas the forest, grassland, water, and wetland were noted declined.",shrubland,INCREASE,null,1,
26,59,"Forest land and shrubland decreased after 1987-2002, with -3.41% and -4.65%, respectively (Figure 
 In the last 30 years, the study displays an increase in agriculture, bare land, urban, and shrubland, whereas the forest, grassland, water, and wetland were noted declined.",forest,DECREASE,null,1,
26,59,"Forest land and shrubland decreased after 1987-2002, with -3.41% and -4.65%, respectively (Figure 
 In the last 30 years, the study displays an increase in agriculture, bare land, urban, and shrubland, whereas the forest, grassland, water, and wetland were noted declined.",grassland,DECREASE,null,1,
26,59,"Forest land and shrubland decreased after 1987-2002, with -3.41% and -4.65%, respectively (Figure 
 In the last 30 years, the study displays an increase in agriculture, bare land, urban, and shrubland, whereas the forest, grassland, water, and wetland were noted declined.",water,DECREASE,null,1,
26,59,"Forest land and shrubland decreased after 1987-2002, with -3.41% and -4.65%, respectively (Figure 
 In the last 30 years, the study displays an increase in agriculture, bare land, urban, and shrubland, whereas the forest, grassland, water, and wetland were noted declined.",wetland,DECREASE,null,1,
64,20,"The forest cover, predominantly accounting for almost 50% of the entire land area, drastically reduced over the years, especially within the first evaluation period",forest cover,DECREASE,null,1,
66,6,The total carbon stock of vegetation affected by land cover change decreased by 463.96 × 10 4 t and 193.50 × 10 4 t in 2000-2010 and 2010-2020 respectively.,vegetation,DECREASES_BY,463.96 × 10 4 t,"not relevant : the decrease is about carbon stock, not surface",
66,6,The total carbon stock of vegetation affected by land cover change decreased by 463.96 × 10 4 t and 193.50 × 10 4 t in 2000-2010 and 2010-2020 respectively.,vegetation,DECREASES_BY,193.50 × 10 4 t,"not relevant : the decrease is about carbon stock, not surface",
88,4,"The results showed that: (1) From 1992 to 2018, shrubland and grassland decreased, while built-up land, snow, forestland, water body, and cropland area increased.",shrubland,DECREASE,null,1,
88,4,"The results showed that: (1) From 1992 to 2018, shrubland and grassland decreased, while built-up land, snow, forestland, water body, and cropland area increased.",grassland,DECREASE,null,1,
88,4,"The results showed that: (1) From 1992 to 2018, shrubland and grassland decreased, while built-up land, snow, forestland, water body, and cropland area increased.",built-up land,INCREASE,null,1,
88,4,"The results showed that: (1) From 1992 to 2018, shrubland and grassland decreased, while built-up land, snow, forestland, water body, and cropland area increased.",snow,INCREASE,null,1,
88,4,"The results showed that: (1) From 1992 to 2018, shrubland and grassland decreased, while built-up land, snow, forestland, water body, and cropland area increased.",forestland,INCREASE,null,1,
88,4,"The results showed that: (1) From 1992 to 2018, shrubland and grassland decreased, while built-up land, snow, forestland, water body, and cropland area increased.",water body,INCREASE,null,1,
88,4,"The results showed that: (1) From 1992 to 2018, shrubland and grassland decreased, while built-up land, snow, forestland, water body, and cropland area increased.",cropland area,INCREASE,null,1,
20,65,"Within the period of 2021 and 2040, it is expected that built-up areas and forests will expand by 5.46% and 1.28%, whereas agricultural areas and barren areas will shrink by 4.21% and 2.56%, respectively.",built-up areas,INCREASES_BY,5.46%,warning : future,
20,65,"Within the period of 2021 and 2040, it is expected that built-up areas and forests will expand by 5.46% and 1.28%, whereas agricultural areas and barren areas will shrink by 4.21% and 2.56%, respectively.",forests,INCREASES_BY,1.28%,warning : future,
20,65,"Within the period of 2021 and 2040, it is expected that built-up areas and forests will expand by 5.46% and 1.28%, whereas agricultural areas and barren areas will shrink by 4.21% and 2.56%, respectively.",agricultural areas,DECREASES_BY,4.21%,warning : future,
20,65,"Within the period of 2021 and 2040, it is expected that built-up areas and forests will expand by 5.46% and 1.28%, whereas agricultural areas and barren areas will shrink by 4.21% and 2.56%, respectively.",barren areas,DECREASES_BY,2.56%,warning : future,
73,3,"The results show that between 1980 and 2020, the watershed experienced a considerable decline in shrub lands by 40.63% (−235.97 km 2 ), grasslands by 84.86% (−59.14 km 2 ), forests by 52.90% (−98.36 km 2 ), water by 82.03% (−39.27 km 2 ) and wetlands by 38.44% (−3.69 km 2 ); whereas cultivated land, bare land and built-up areas expanded over the same period by 34.25% (+347.42 km 2 ), 132.28% (+60.95 km 2 ) and 461.20% (+25.32 km 2 ), respectively.",shrub lands,DECREASES_BY,40.63%,1,comment : could be interesting to also extract the absolute area values (km2)
73,3,"The results show that between 1980 and 2020, the watershed experienced a considerable decline in shrub lands by 40.63% (−235.97 km 2 ), grasslands by 84.86% (−59.14 km 2 ), forests by 52.90% (−98.36 km 2 ), water by 82.03% (−39.27 km 2 ) and wetlands by 38.44% (−3.69 km 2 ); whereas cultivated land, bare land and built-up areas expanded over the same period by 34.25% (+347.42 km 2 ), 132.28% (+60.95 km 2 ) and 461.20% (+25.32 km 2 ), respectively.",grasslands,DECREASES_BY,84.86%,1,comment : could be interesting to also extract the absolute area values (km2)
73,3,"The results show that between 1980 and 2020, the watershed experienced a considerable decline in shrub lands by 40.63% (−235.97 km 2 ), grasslands by 84.86% (−59.14 km 2 ), forests by 52.90% (−98.36 km 2 ), water by 82.03% (−39.27 km 2 ) and wetlands by 38.44% (−3.69 km 2 ); whereas cultivated land, bare land and built-up areas expanded over the same period by 34.25% (+347.42 km 2 ), 132.28% (+60.95 km 2 ) and 461.20% (+25.32 km 2 ), respectively.",forests,DECREASES_BY,52.90%,1,comment : could be interesting to also extract the absolute area values (km2)
73,3,"The results show that between 1980 and 2020, the watershed experienced a considerable decline in shrub lands by 40.63% (−235.97 km 2 ), grasslands by 84.86% (−59.14 km 2 ), forests by 52.90% (−98.36 km 2 ), water by 82.03% (−39.27 km 2 ) and wetlands by 38.44% (−3.69 km 2 ); whereas cultivated land, bare land and built-up areas expanded over the same period by 34.25% (+347.42 km 2 ), 132.28% (+60.95 km 2 ) and 461.20% (+25.32 km 2 ), respectively.",water,DECREASES_BY,82.03%,1,comment : could be interesting to also extract the absolute area values (km2)
