sentenceID,sentence,source,source_type,relationship,target,target_type,comment,
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",droughts,PROCESS,CAUSES,loss,CHANGE,,
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",loss,CHANGE,AFFECTS,woody vegetation,LULC,"In Raham annotations : why ""woody vegetation"" here, and ""woody vegetation cover"" above ?",
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",woody vegetation ,LULC,CHANGE_TO,degraded land,LULC,,
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",degraded land,LULC,LOCATED_IN,Sahel,LOC,,
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",droughts,PROCESS,OCCURS_DURING,1970s,TIME_PERIODS,,
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",droughts,PROCESS,OCCURS_DURING,1980s,TIME_PERIODS,,
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",loss,CHANGE,CAUSES,desertification,PROCESS,not sure,
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",degraded land,LULC,LOCATED_IN,Sahel,LOC,"In Raham annotations : according to the definiton QUANTITY is a numerical value, LOCATED IN does not apply to a quantity",
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",woody vegetation,LULC,CHANGE_TO,degraded land,LULC,,
2,The forests of West and Central Africa probably originally covered a combined area of about 3 million km²,forests,LULC,LOCATED_IN,West and Central Africa,LOC,,
2,The forests of West and Central Africa probably originally covered a combined area of about 3 million km²,3 million km²,SURFACE_UNIT,MEASURES,forests ,LULC,,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,LOCATED_IN,study site,LOC,,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",40%,PERCENT,FROM_TO,51.30%,PERCENT,cropped field INCREASED,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",47%,PERCENT,FROM_TO,64%,PERCENT,,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",increased,CHANGE,OCCURS_DURING,from 1996 to 2017,TIME_PERIODS,,"do we label the ""from"" for TIME_PERIODS ? as in example in doc file"
