Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Assessment of land use land cover change and its effects using artificial neural network-based cellular automation,https://link.springer.com/article/10.1186/s44147-024-00402-0,10.1186/s44147-024-00402-0,True,Assessment of land use land cover change and its effects using artificial neural network-based cellular automation.pdf,2024,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Journal of Engineering and Applied Science,True,Scholar,"Mehra, Nishant and Swain, Janaki Ballav"
Multi-scenario simulation of land use/land cover change and water yield evaluation coupled with the GMOP-PLUS-InVEST model: A case study of the Nansi …,https://www.sciencedirect.com/science/article/pii/S1470160X23010683,10.3390/land13091518,True,,2024,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Land,False,,"Wang, Qi and Zhang, Wenying and Xia, Jianguo and Ou, Dinghua and Tian, Zhaonan and Gao, Xuesong"
Mapping and monitoring of spatio-temporal land use and land cover changes and relationship with normalized satellite indices and driving factors,https://www.tandfonline.com/doi/abs/10.1080/24749508.2023.2187567,10.1080/24749508.2023.2187567,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020","Geology, Ecology, and Landscapes",False,,"Wahla, Saadia Sultan and Kazmi, Jamil Hassan and Tariq, Aqil"
"Detection of land use/land cover changes in a watershed: A case study of the Murredu watershed in Telangana state, India",https://www.sciencedirect.com/science/article/pii/S2589471422000298,10.1016/j.wsee.2022.12.003,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Watershed Ecology and the Environment,False,,"Raja Shekar, Padala and Mathew, Aneesh"
"Land use and land cover change detection using geospatial techniques in the Sikkim Himalaya, India",https://www.sciencedirect.com/science/article/pii/S1110982318302035,10.26480/ees.01.2023.21.29,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Environment &amp; Ecosystem Science,False,,"Girma Abebe, Birhanu and Gebeyehu Amare, Agemasie and Shata Gemeda, Bedane"
"Analysis of land use/land cover change trends over Birr River Watershed, Abbay Basin, Ethiopia",https://www.sciencedirect.com/science/article/pii/S266597272200054X,10.1016/j.indic.2022.100222,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Environmental and Sustainability Indicators,False,,"Malede, Demelash Ademe and Alamirew, Tena and Kosgie, Job Rotich and Andualem, Tesfa Gebrie"
Coastal ecosystem service in response to past and future land use and land cover change dynamics in the Yangtze river estuary,https://www.sciencedirect.com/science/article/pii/S0959652622051757,10.1016/j.jclepro.2022.135601,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Journal of Cleaner Production,False,,"Li, Chengwei and Fang, Shubo and Geng, Xiaolei and Yuan, Yuan and Zheng, Xiaowei and Zhang, Dou and Li, Rongxi and Sun, Wei and Wang, Xiangrong"
Effect of land use land cover change on runoff characteristics using curve number: A GIS and remote sensing approach,https://www.inderscienceonline.com/doi/abs/10.1504/IJHST.2023.131824,10.1504/ijhst.2023.131824,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",International Journal of Hydrology Science and Technology,False,,"Mehta, Darshan and Hadvani, Janvi and Kanthariya, Devanshi and Sonawala, Prachi"
"Investigating land use land cover changes and their effects on land surface temperature and urban heat islands in Sharqiyah Governorate, Egypt",https://www.sciencedirect.com/science/article/pii/S1110982323000200,10.1016/j.ejrs.2023.04.001,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",The Egyptian Journal of Remote Sensing and Space Science,False,,"Hamed Fahmy, Asmaa and Amin Abdelfatah, Mohamed and El-Fiky, Gamal"
"Hydrological responses to human-induced land use/land cover changes in the Gidabo River basin, Ethiopia",https://www.tandfonline.com/doi/abs/10.1080/02626667.2021.1890328,10.3390/geographies3010004,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Geographies,False,,"Ayele, Habitamu Alesew and Aga, Alemu O. and Belayneh, Liuelsegad and Wanjala, Tilahun Wankie"
