source_id,authors,year,type,value,geography,context,source_column
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,,change_process,,"['Andorra', 'Thimphu', 'United Arab Emirates', 'Canada']",The study observed a significant increase (12.77%) in,abstract
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,,land_cover,,"['Andorra', 'Thimphu', 'United Arab Emirates', 'Canada']",(12.77%) in built-up area from 2002 (52.88%,abstract
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,,change_process,,"['Andorra', 'Thimphu', 'United Arab Emirates', 'Canada']",", followed by a slight increase in the cover of bare",abstract
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,,land_cover,,"['Andorra', 'Thimphu', 'United Arab Emirates', 'Canada']","increase in the cover of bare ground. On the contrary,",abstract
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,,land_cover,,"['Andorra', 'Thimphu', 'United Arab Emirates', 'Canada']",". On the contrary, forest cover declined drastically (15.25",abstract
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,,land_cover,,"['Andorra', 'Thimphu', 'United Arab Emirates', 'Canada']",". These changes have fragmentated forest cover, increased soil/",abstract
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,,land_cover,,"['Andorra', 'Thimphu', 'United Arab Emirates', 'Canada']",(73.21%) with forest significantly reduced to patches making,abstract
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,,land_cover,,"['Andorra', 'Thimphu', 'United Arab Emirates', 'Canada']",specially to protect the existing forest and water resources from further,abstract
1,Tran Nguyen; Tuan,,land_cover,,"['Japan', 'Andorra', 'the North Central', 'the Red River Delta', 'Central Coast', 'Vietnam', 'Southeast']","regions, but conversion of agricultural land for urbanization is mainly in",abstract
1,Tran Nguyen; Tuan,,land_cover,,"['Japan', 'Andorra', 'the North Central', 'the Red River Delta', 'Central Coast', 'Vietnam', 'Southeast']",is mainly in the Red River Delta and Southeast. The,abstract
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,,land_cover,,"['Tibetan Plateau', 'Andorra', 'China', 'Gannan Prefecture', 'the Ganan Prefecture']",temporal Landsat images and random forest algorithm based on the Google,abstract
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,,land_cover,,"['Tibetan Plateau', 'Andorra', 'China', 'Gannan Prefecture', 'the Ganan Prefecture']","in the study area were grassland and forest, and their",abstract
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,,land_cover,,"['Tibetan Plateau', 'Andorra', 'China', 'Gannan Prefecture', 'the Ganan Prefecture']","study area were grassland and forest, and their area accounted",abstract
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,,land_cover,,"['Tibetan Plateau', 'Andorra', 'China', 'Gannan Prefecture', 'the Ganan Prefecture']","the study period, the grassland area decreased, while the",abstract
