sentenceID,sentence,source,source_type,relationship,target,target_type,confidence
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts,PROCESS,OCCURS_DURING,1970s,DATE,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts,PROCESS,OCCURS_DURING,1980s,DATE,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",woody vegetation cover,LULC,AFFECTS,Sahel,LOC,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",woody vegetation cover,LULC,CHANGES_TO,degraded land,LULC,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,C,CHANGE_TO,arable lands,arable_lands,MEDIUM
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",40%,PERCENT,DECREASES_BY,47%,PERCENT,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",51.3%,PERCENT,INCREASES_BY,64%,PERCENT,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,C,LOCATED_IN,study site area,surface_unit,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",loss,CHANGE,AFFECTS,arable lands,arable_lands,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",fallows,PROCESS,CAUSES,loss,CHANGE,HIGH
4,in this region has been dominated over the past three decades by production,,,,,,
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",land,LULC,DECREASED_BY,half,CARDINAL,HIGH
