sentenceID,sentence,source,source_type,relationship,target,target_type,confidence
1,"#text: After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land (e.g",droughts,PROCESS,CAUSES,loss of woody vegetation cover,CHANGE,HIGH
1,"#text: After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land (e.g",loss of woody vegetation cover,CHANGE,MEASURES,irreversible desertification,PROCESS,MEDIUM
1,"#text: After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land (e.g",irreversible desertification,PROCESS,AFFECTS,Sahel,LOC,HIGH
1,"#text: After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land (e.g",Sahel,LOC,HAS,degraded land,LULC,HIGH
2,#text: The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,,,,,,
3,")., head: Land use change in the study site, p: ref: 2a, 2b, From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,CHANGE_TO,cropped fields,LULC,HIGH
3,")., head: Land use change in the study site, p: ref: 2a, 2b, From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,INCREASES_BY,11.3%,PERCENT,HIGH
3,")., head: Land use change in the study site, p: ref: 2a, 2b, From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,INCREASES_BY,17.3%,PERCENT,HIGH
3,")., head: Land use change in the study site, p: ref: 2a, 2b, From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",fallows,LULC,LOSES,cropped fields,LULC,HIGH
4,Agriculture in this region has been dominated over the past three decades by cotton production,* Agriculture,LULC,CAUSES,Cotton production,PROCESS (although this would require additional information to confirm the causal link),
5,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",Forest land,LULC,COMPARED_TO,Forest land,LULC,HIGH
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",forest,LULC,CHANGE_TO,farmland,LULC,HIGH
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",woodland,LULC,CHANGE_TO,degraded savanna,LULC,HIGH
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",tree savanna,LULC,CHANGE_TO,degraded savanna,LULC,HIGH
9,"describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",low investment trap,PROCESS,AFFECTS,agriculture,LULC,HIGH
9,"describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",cropland,LULC,HAS_CHARACTERISTIC,less than 10%,PERCENT,HIGH
10,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",weeding practice,PROCESS,CAUSES,bare soil,LULC,HIGH
10,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",bare soil,LULC,LOCATED_IN,cropped fields,LULC,HIGH
10,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",herbaceous vegetation,LULC,LOCATED_IN,fallows,LULC,HIGH
10,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",herbaceous vegetation,LULC,LOCATED_IN,rangelands,LULC,HIGH
10,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",bare soil,LULC,OCCURS_DURING,early growing season,TIME_PERIOD,HIGH
11,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years (Table )",Grazing land,LULC,MEASURES,Total regional area: SURFACE_UNIT | HIGH (confidence level,MEDIUM),
11,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years (Table )",Croplands,LULC,MEASURES,Quantity | HIGH (confidence level,MEDIUM),
11,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years (Table )",Grazing land,LULC,OCCURS_DURING,1986: DATE | HIGH (confidence level,MEDIUM),
11,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years (Table )",Croplands,LULC,OCCURS_DURING,After 16 years | TIME_PERIOD | MEDIUM (confidence level,MEDIUM),
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",Adansonia digitata,LULC,PROTECTED_BY,farmers,PER,HIGH
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",Vitellaria paradoxa,LULC,PROTECTED_BY,farmers,PER,HIGH
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",baobab,LULC,IS_SAME_AS,Adansonia digitata,LULC,HIGH
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",shea tree,LULC,IS_SAME_AS,Vitellaria paradoxa,LULC,HIGH
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",agricultural cycle,PROCESS,INVOLVES,cultivation,PROCESS,HIGH
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",agricultural cycle,PROCESS,INVOLVES,fallows,PROCESS,HIGH
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",rangelands,LOC,LOCATED_IN,woody vegetation,LULC,HIGH
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",wood resources,LULC,CAUSES,woody vegetation,CHANGE,HIGH
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",fuel,PROCESS,MEASURES,wood resources,LULC,MEDIUM
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",construction wood,LULC,MEASURES,wood resources,LULC,MEDIUM
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",local rural population,PERCENT,AFFECTS,wood resources,LULC,MEDIUM
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",urban population,PERCENT,AFFECTS,wood resources,LULC,MEDIUM
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",Niamey,LOC,LOCATED_IN,rangelands,LOC,HIGH
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",80 km,COORDINATES,DISTANCE_FROM,rangelands,LOC,HIGH
15,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",cultivated land,LULC,INCREASES_BY,fallow cycles,PROCESS,HIGH
15,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",fallow cycles,PROCESS,CAUSES,soils,LULC,HIGH
15,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",fallow land,LULC,GAINS,size,QUANTITY,HIGH
15,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",out-migration,PROCESS,AFFECTS,fallow land,LULC,MEDIUM
16,Irrigation from rivers is regarded as minor driver of LULCC,Irrigation,PROCESS,AFFECTS,LULCC,LULC,HIGH
17,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",Tree growth,PROCESS,CAUSES,increase,QUANTITY,HIGH
17,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",Agroforestry,PROCESS,CAUSES,increase,QUANTITY,HIGH
17,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",increase,QUANTITY,MEASURES,woody cover,LULC,HIGH
17,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",woody cover,LULC,LOCATED_IN,proximity to the village,LOC,HIGH
18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",Grazing,PROCESS,AFFECTS,Rangelands,LULC,HIGH
18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",Grazing,PROCESS,EXTENDS_TO,Fallows,LULC,HIGH
18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",Grazing,PROCESS,EXTENDS_TO,Cropped fields,LULC,HIGH
18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",Grazing,PROCESS,DEPENDS_ON,Dry season,DATE,MEDIUM
18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",Communal access,PROCESS,ENABLES,Grazing,PROCESS,HIGH
19,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Ratios,QUANTITY,MEASURES,fallow:LULC / cultivated area,LULC,HIGH
19,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Woure,LOC,LOCATED_IN,bushfallow system,PROCESS,HIGH
