Title,Abstract
Survey on Land Use/Land Cover (LU/LC) change analysis in remote sensing and GIS environment: Techniques and Challenges,"The surface of the earth is rapidly changing every day due to certain natural reasons and other impacts by society. Over the last few decades, the hottest topics in the field of remote sensing and GIS (geographic information system) environments have evolved from observing the nature of the earth. Owing to the enlargement of several worldwide modifications related to the nature of the earth, land use/land cover (LU/LC) change is considered as the matter of utmost importance in the natural atmosphere, and it has also become an interesting area to be studied by the researchers. As there is a lack of review articles in the land use/land cover change analysis process, we presented a comprehensive review which may help the researchers to proceed further. This paper deals with the most frequent methods used by researchers on various processes like pre-processing, classification, and prediction of time series satellite images for analyzing the LU/LC changes using satellite images. The generic flow of the LU/LC change analysis process and the challenges faced during each process by the researchers are discussed. Varied resolutions of the environmental image captured by remote sensing satellites for analyzing the LU/LC changes are discussed. Various LU/LC classes depending on change in the earth's surface are also studied and the constraint used in each application is stated. The importance of this review lies in the motivation for future researchers to work on the LU/LC change analysis problem effectively."
Land-use change and biodiversity: Challenges for assembling evidence on the greatest threat to nature,"Land-use change is considered the greatest threat to nature, having caused worldwide declines in the abundance, diversity, and health of species and ecosystems. Despite increasing research on this global change driver, there are still challenges to forming an effective synthesis. The estimated impact of land-use change on biodiversity can depend on location, research methods, and taxonomic focus, with recent global metaanalyses reaching disparate conclusions. Here, we critically appraise this research body and our ability to reach a reliable consensus. We employ named entity recognition to analyze more than 4000 abstracts, alongside full reading of 100 randomly selected papers. We highlight the broad range of study designs and methodologies used; the most common being local space-for-time comparisons that classify land use in situ. Species metrics including abundance, distribution, and diversity were measured more frequently than complex responses such as demography, vital rates, and behavior. We identified taxonomic biases, with vertebrates well represented while detritivores were largely missing. Omitting this group may hinder our understanding of how land-use change affects ecosystem feedback. Research was heavily biased toward temperate forested biomes in North America and Europe, with warmer regions being acutely underrepresented despite offering potential insights into the future effects of land-use change under novel climates. Various land-use histories were covered, although more research in understudied regions including Africa and the Middle East is required to capture regional differences in the form of current and historical land-use practices. Failure to address these challenges will impede our global understanding of land-use change impacts on biodiversity, limit the reliability of future projections and have repercussions for the conservation of threatened species.
Beyond identifying literature biases, we highlight the research priorities and data gaps that need urgent attention and offer perspectives on how to move forward."
Land Use/Land Cover Changes and Their Driving Factors in the Northeastern Tibetan Plateau Based on Geographical Detectors and Google Earth Engine: A Case Study in Gannan Prefecture,"As an important production base for livestock and a unique ecological zone in China, the northeast Tibetan Plateau has experienced dramatic land use/land cover (LULC) changes with increasing human activities and continuous climate change. However, extensive cloud cover limits the ability of optical remote sensing satellites to monitor accurately LULC changes in this area. To overcome this problem in LULC mapping in the Ganan Prefecture, 2000-2018, we used the dense time stacking of multi-temporal Landsat images and random forest algorithm based on the Google Earth Engine (GEE) platform. The dynamic trends of LULC changes were analyzed, and geographical detectors quantitatively evaluated the key driving factors of these changes. The results showed that (1) the overall classification accuracy varied between 89.14% and 91.41%, and the kappa values were greater than 86.55%, indicating that the classification results were reliably accurate. (2) The major LULC types in the study area were grassland and forest, and their area accounted for 50% and 25%, respectively. During the study period, the grassland area decreased, while the area of forest land and construction land increased to varying degrees. The land-use intensity presents multi-level intensity, and it was higher in the northeast than that in the southwest. (3) Elevation and population density were the major driving factors of LULC changes, and economic development has also significantly affected LULC. These findings revealed the main factors driving LULC changes in Gannan Prefecture and provided a reference for assisting in the development of sustainable land management and ecological protection policy decisions."
Land Use and Land Cover Change Modeling and Future Potential Landscape Risk Assessment Using Markov-CA Model and Analytical Hierarchy Process,"Land use and land cover change (LULCC) has directly played an important role in the observed climate change. In this paper, we considered Dujiangyan City and its environs (DCEN) to study the future scenario in the years 2025, 2030, and 2040 based on the 2018 simulation results from 2007 and 2018 LULC maps. This study evaluates the spatial and temporal variations of future LULCC, including the future potential landscape risk (FPLR) area of the 2008 great (8.0 M w ) earthquake of south-west China. The Cellular automata-Markov chain (CA-Markov) model and multicriteria based analytical hierarchy process (MC-AHP) approach have been considered using the integration of remote sensing and GIS techniques. The analysis shows future LULC scenario in the years 2025, 2030, and 2040 along with the FPLR pattern. Based on the results of the future LULCC and FPLR scenarios, we have provided suggestions for the development in the close proximity of the fault lines for the future strong magnitude earthquakes. Our results suggest a better and safe planning approach in the Belt and Road Corridor (BRC) of China to control future Silk-Road Disaster, which will also be useful to urban planners for urban development in a safe and sustainable manner."
Impacts of land use and land cover change in response to different driving forces in Uganda: evidence from a review,"This reviewe of Land Use Land Cover Change (LULCC) studies in Uganda indicate agriculture, forest, grassland, and woodland as the major land use and land cover types. Central Uganda is the most studied region (15%), followed by western ("
The Global 2000-2020 Land Cover and Land Use Change Dataset Derived From the Landsat Archive: First Results,"Recent advances in Landsat archive data processing and characterization enhanced our capacity to map land cover and land use globally with higher precision, temporal frequency, and thematic detail. Here, we present the first results from a project aimed at annual multidecadal land monitoring providing critical information for tracking global progress towards sustainable development. The global 30-m spatial resolution dataset quantifies changes in forest extent and height, cropland, built-up lands, surface water, and perennial snow and ice extent from the year 2000 to 2020. Landsat Analysis Ready Data served as an input for land cover and use mapping. Each thematic product was independently derived using locally and regionally calibrated machine learning tools. Thematic maps validation using a statistical sample of reference data confirmed their high accuracy (user's and producer's accuracies above 85% for all land cover and land use themes, except for built-up lands). Our results revealed dramatic changes in global land cover and land use over the past 20 years. The bitemporal dataset is publicly available and serves as a first input for the global land monitoring system."
Assessing Land Use-Land Cover Change and Its Impact on Land Surface Temperature Using LANDSAT Data: A Comparison of Two Urban Areas in India,"The purpose of this study is to investigate the spatial and temporal changes in land use and patterns of vegetation and its impacts on land surface temperature (LST) in two Indian cities. Specifically the motivation behind this study is to examine whether a correlation exists between these parameters for the two cities. Indian cities are facing tremendous pressures of rapid urbanization altering the country's land use patterns. This in turn has significantly altered the country's land surface temperature over the years. This study investigates the changes in the land use, land cover and surface temperature in two Indian cities of Surat and Bharuch over a period of 2 decades using Landsat 5 Thematic Mapper and Landsat 8 OLI/TIRS datasets. The study also examines changes in vegetation pattern during this period using a normalized difference vegetation index (NDVI) and investigates the correlation between LST and NDVI. Additionally, the study examines the spatial patterns of LST by mapping the directional profiles of LST. Results of the study reveal that over time both the cities have witnessed a dramatic growth in built-up area, systematic reduction in green space and increase in LST. There is 85% increase in builtup area in Surat in the past 2 decades and 31% increase in built-up area in Bharuch during the same period. At the same time, mean surface temperature in Surat has shown an increase of 2.42 °C per decade while in Bharuch the mean surface temperature has increased by 2.13 °C per decade. Moreover, examination of correlation between LST and NDVI showed a negative relation between the two parameters. Directional profiles showed a continued increase in temperature from 2008 to 2016 from North to South direction Surat indicating an increased urbanization in that direction. Also, new peaks were observed in the profile of Surat for 2008 and 2016 in the north-south direction indicating urban expansion particularly in the southern part of the city. Moreover, substantial growth has taken place in the central part of the city and along the banks of the rivers Tapi and Narmada. This study will be helpful in investigations that address the challenges of urbanization in Surat and Bharuch by assisting local government officials, land management professionals and planners to determine areas where growth must be curbed to avoid further environmental degradation thereby assisting in systematic urban planning practices."
Land Use Policy,"Information on Land Use and Land Cover (LULC) changes and the driving forces behind such modifications underpin a proper understanding of the dynamics of LULC changes. This study aimed to analyse the dynamics of LULC change trends and its driving factors in Jimma Geneti District (JGD) for the year 1973-2019. Five satellite images downloaded from USGS were used to analyze and assess the geospatial and temporal changes in LULC. In addition, in-depth household interviews, key informant interview, focus group discussions (FGD) and field observations were used to address the drivers of LULC changes. The result showed a decline in forest land from 8632.5 ha (20.9 %) in 1973-5647.23 ha (13.7 %) in 2019. The study further revealed that the total of forest land cleared between 1973 and 2019 was estimated to be 2985.27 ha (7.22 %). In other words, 34.6 % of the forest cover that existed in 1973 was lost. Similarly, wetlands declined from 9919.5 ha (24.0 %) in 1973-2000.24 ha (4.8 %) in 2019. Similarly, wetlands declined from 9919.5 ha (24.0 %) in 1973-2000.24 ha (4.8 %) in 2019. On the other hand, cultivated land has increased from 18617.0 ha (45.1 %) to 27708.1 ha (67.1 %). Similarly, the increment in settlement areas has elevated from 908.7 ha (2.2 %) to 4436.46 ha (10.7 %) during the same period. Agricultural expansion, cutting trees for various purposes (such as firewood, charcoal and construction material), overgrazing and the expansion of settlements, were identified as the major proximate causes of these changes. Moreover, the major underlying drivers of LULC changes include population growth, changes in policy and institutions, poverty and lack of awareness on the importance of natural resource conservation for sustainable livelihoods. From this study, it can be concluded that JGD has experienced a significant change in LULC over the past 46 years and were affected both positively and negatively. Hence, a wide range of policy packages are required for sustainable land management practices which take in to account synergies and trade-offs between the various land uses in the study area. The national and local governments should enforce sustainable land management approaches through integrating land use planning and management into all development programmes and projects."
"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, using cellular automata and Markov chain","Rapid urbanization is changing landscapes often resulting in the degradation of ecosystem services and quality of urban life. Remote sensing and GIS tools can provide valuable information to deepen our understanding of the dynamics of these changes to better plan and build sustainable cities for the future. Using remote sensing data, socio-economic data, and field observations, we simulated spatiotemporal dynamics of land use and land cover changes in the city of Thimphu. Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050. The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground. On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%). Rapid population growth triggered by rural urban migration coupled with hasty socio-economic development post democracy are the main drivers of these changes. These changes have fragmentated forest cover, increased soil/gully erosion, surface runoff, and storm induced floods of storm and sanitation drains, thereby impinging on the overall quality of life in the city. Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city. These findings beg for an urgent need to implement effective planning specially to protect the existing forest and water resources from further degradation."
ISPRS Journal of Photogrammetry and Remote Sensing,"Products reveal that land cover change is significant across most land cover classes and time periods. The land cover product was validated using existing reference data from the legacy NLCD 2011 accuracy assessment, applied to the 2011 epoch of the NLCD 2016 product line. The legacy and new NLCD 2011 overall accuracies were 82% and 83%, respectively, (standard error (SE) was 0.5%), demonstrating a small but significant increase in overall accuracy. Between 2001 and 2016, the CONUS landscape experienced significant change, with almost 8% of the landscape having experienced a land cover change at least once during this period. Nearly 50% of that change involves forest, driven by change agents of harvest, fire, disease and pests that resulted in an overall forest decline, including increasing fragmentation and loss of interior forest. Agricultural change represented 15.9% of the change, with total agricultural spatial extent showing only a slight increase of 4778 km 2 , however there was a substantial decline (7.94%) in pasture/hay during this time, transitioning mostly to cultivated crop. Water and wetland change comprised 15.2% of change and represent highly dynamic land cover classes from epoch to epoch, heavily influenced by precipitation. Grass and shrub change comprise 14.5% of the total change, with most change resulting from fire. Developed change was the most persistent and permanent land change increase adding almost 29,000 km 2 over 15 years (5.6% of total CONUS change), with southern states exhibiting expansion much faster than most of the northern states. Temporal rates of developed change increased in 2001-2006 at twice the rate of 2011-2016, reflecting a slowdown in CONUS economic activity. Future NLCD plans include increasing monitoring frequency, reducing latency time between satellite imaging and product delivery, improving accuracy and expanding the variety of products available in an integrated database."
