sentenceID,sentence,source,source_type,relationship,target,target_type,confidence
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts,PROCESS,CAUSES,loss,CHANGE,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",loss,CHANGE,AFFECTS,woody vegetation cover,LULC,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts,PROCESS,OCCURS_DURING,1970s,DATE,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts,PROCESS,OCCURS_DURING,1980s,DATE,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",loss,CHANGE,AFFECTS,Sahel,LOC,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",woody vegetation cover,LULC,CHANGES_TO,degraded land,LULC,HIGH
2,'The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,,,,,,
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,LOCATED_IN,study site area,SURFACE_UNIT,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",40%,PERCENT,FROM_TO,51.3%,PERCENT,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",40%,PERCENT,MEASURES,increased,CHANGE,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",47%,PERCENT,FROM_TO,64%,PERCENT,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",47%,PERCENT,MEASURES,loss,CHANGE,"LOW (not explicit, but can be inferred)"
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",64%,PERCENT,MEASURES,loss,CHANGE,"LOW (not explicit, but can be inferred)"
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",loss,CHANGE,AFFECTS,arable lands,LULC,MEDIUM (indirectly related)
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",fallows,LULC,CAUSES,loss,CHANGE,HIGH (assuming fallows refers to abandoned land)
4,in this region has been dominated over the past three decades by production,,,,,,
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",land,LULC,DECREASED_BY,half,PERCENT,HIGH
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",decrease,CHANGE,OCCURS_DURING,2002,DATE,HIGH
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",decrease,CHANGE,COMPARES_TO,1984,DATE,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",26,CARDINAL,MEASURES,percentage,PERCENT,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",31,CARDINAL,MEASURES,percentage,PERCENT,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",total area of natural vegetation,LULC,CONTAINS,woodland,LULC,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",total area of natural vegetation,LULC,CONTAINS,tree,LULC,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",farmland,LULC,DEGRADES,degraded,CHANGE,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",2050,DATE,OCCURS_DURING,conversion,PROCESS,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1975,DATE,OCCURS_DURING,period,TIME_PERIOD,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1990,DATE,OCCURS_DURING,period,TIME_PERIOD,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",2010,DATE,OCCURS_DURING,period,TIME_PERIOD,HIGH
