sentenceID,sentence,source,source_type,relationship,target,target_type,confidence
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts,PROCESS,CAUSES,loss,CHANGE,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",loss,CHANGE,AFFECTS,woody vegetation cover,LULC,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",Sahel,LOC,LOCATED_IN,droughts,PROCESS,MEDIUM (indirectly related)
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts,PROCESS,OCCURS_DURING,1970s,DATE,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts,PROCESS,OCCURS_DURING,1980s,DATE,HIGH
2,'The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,,,,,,
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",C,LULC,CHANGE_TO,C,LULC,HIGH (Note: This is not a meaningful relation since it's the same entity)
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",C,LULC,INCREASES_BY,11.3%,PERCENT,HIGH (Derived relation)
4,in this region has been dominated over the past three decades by production,,,,,,
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",land,LULC,DECREASED_BY,half,CARDINAL,HIGH
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",land,LULC,OCCURS_DURING,2002,DATE,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",woodland,LULC,CHANGE_TO,farmland,LULC,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",tree,LULC,CHANGE_TO,farmland,LULC,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1975,DATE,OCCURS_DURING,woodland,LULC,LOW
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1990,DATE,OCCURS_DURING,tree,LULC,LOW
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1990,DATE,OCCURS_DURING,woodland,LULC,LOW
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",2010,DATE,OCCURS_DURING,tree,LULC |,
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by, woodland and tree will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded and farmland will increase by 9 and 22% of the total area, respectively",woodland,LULC,DECREASES_BY,5%,PERCENT,HIGH
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by, woodland and tree will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded and farmland will increase by 9 and 22% of the total area, respectively",tree,LULC,DECREASES_BY,9%,PERCENT,HIGH
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by, woodland and tree will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded and farmland will increase by 9 and 22% of the total area, respectively",tree,LULC,DECREASES_BY,17%,PERCENT,HIGH
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by, woodland and tree will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded and farmland will increase by 9 and 22% of the total area, respectively",degraded,LULC,INCREASES_BY,9%,PERCENT,HIGH
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by, woodland and tree will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded and farmland will increase by 9 and 22% of the total area, respectively",farmland,LULC,INCREASES_BY,22%,PERCENT,HIGH
8,"Conversely the decrease in the herbaceous standing, due to the shortening of the period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",herbaceous standing,LULC,DECREASES_BY,period,DATE,HIGH
10,"Due to the weeding practice, dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",weeding practice,PROCESS,CAUSES,dominates,CHANGE,HIGH
10,"Due to the weeding practice, dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",dominates,CHANGE,OCCURS_DURING,early growing season,DATE,HIGH
11,"In 1986, the grazing land had much higher proportion of the total regional area than other types while the size of croplands was substantially high after 16 years (Table)",1986,DATE,OCCURS_DURING,grazing land,LULC,HIGH
12,"In 1990, woodland and tree were still the dominant types",,,,,,
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",rangelands,LOC,LOCATED_IN,woody vegetation,LULC,HIGH
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",pressure,PROCESS,CAUSES,woody vegetation,LULC,HIGH
