sentence_id,sentence,entity_text,entity_type
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",droughts,EVENT
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g","1970s, 1980s",DATE
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",Sahel,LOC
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",large parts,QUANTITY
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",degraded land,LULC
0,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",e.g,PROCESS
2,The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,forests,LULC
2,The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,West and Central Africa,LOC
2,The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,about 3 million km²,CARDINAL
3,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",(1993),DATE
3,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",An increase,CHANGE
3,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",of land under,PERIODIC_VERB
3,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",[cultivation],LULC
3,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",can be in the form of,VERB
3,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",either,CARDINAL
3,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",(a),INDEX
3,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",clearing more land within the present territory,PROCESS
3,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",or,OR
3,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",(b),INDEX
3,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",migrating to other areas to develop new land for,PROCESS
