sentence_id,sentence,source,source_type,relationship,target,target_type
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts in the 1970s and 1980s,DATE,CAUSES,observed loss of woody vegetation cover,LULC
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",observed loss of woody vegetation cover,LULC,CHANGES_TO,degraded land,LULC
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts in the 1970s and 1980s,DATE,AFFECTS,large parts,QUANTITY
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",large parts,QUANTITY,ARE,degraded land,LULC
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",the Sahel,LOC,LOCATED_IN,droughts in the 1970s and 1980s,DATE
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts in the 1970s and 1980s,DATE,OCCURS_DURING,1970s and 1980s,DATE
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows","cropped fields, C",LULC,CHANGE_TO,"cropped fields, C",LULC
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows","cropped fields, C",LULC,INCREASES_BY,11.3%,UNKNOWN
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",arable lands,LULC,INCREASES_BY,17%,UNKNOWN
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",land,LULC,DECREASED_BY,half,PERCENT
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",land,LULC,OCCURS_DURING,2002,DATE
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",land,LULC,OCCURS_DURING,1984,DATE
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",gallery,LOC,NO_CHANGE,,UNKNOWN
