sentence_id,sentence,source,source_label,relationship,target,target_label,confidence
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land",droughts,PROCESS,OCCURS_DURING,1970s,DATE,HIGH
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land",droughts,PROCESS,OCCURS_DURING,1980s,DATE,HIGH
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land",loss,CHANGE,OCCURS_DURING,1970s,DATE,HIGH
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land",loss,CHANGE,OCCURS_DURING,1980s,DATE,HIGH
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land",woody vegetation,LULC,LOCATED_IN,Sahel,LOC,HIGH
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land",woody vegetation,LULC,CHANGE_TO,degraded land,LULC,HIGH
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land",droughts,PROCESS,CAUSES,loss,CHANGE,HIGH
2,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,INCREASES_BY,increased,CHANGE,HIGH
2,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",increased,CHANGE,OCCURS_DURING,1996,DATE,HIGH
2,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",increased,CHANGE,OCCURS_DURING,2017,DATE,HIGH
2,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",40%,PERCENT,FROM_TO,51.30%,PERCENT,HIGH
2,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",47%,PERCENT,FROM_TO,64%,PERCENT,HIGH
2,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",loss,CHANGE,CAUSES,increased,CHANGE,HIGH
3,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",natural vegetation,LULC,CHANGE_TO,farmland,LULC,HIGH
3,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",woodland,LULC,CHANGE_TO,farmland,LULC,HIGH
3,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",26%,PERCENT,MEASURES,converted,CHANGE,HIGH
3,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",31%,PERCENT,MEASURES,converted,CHANGE,HIGH
3,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",converted,CHANGE,OCCURS_DURING,2050,DATE,HIGH
3,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",converted,CHANGE,OCCURS_DURING,1975,DATE,MEDIUM
3,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",converted,CHANGE,OCCURS_DURING,1990,DATE,MEDIUM
3,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",converted,CHANGE,OCCURS_DURING,2010,DATE,MEDIUM
4,"Conversely the decrease in the herbaceous standing, due to the shortening of the period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",decrease,CHANGE,AFFECTS,cultivated,LULC,HIGH
4,"Conversely the decrease in the herbaceous standing, due to the shortening of the period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",extension,CHANGE,AFFECTS,cultivated,LULC,HIGH
4,"Conversely the decrease in the herbaceous standing, due to the shortening of the period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",grazing,PROCESS,AFFECTS,cultivated,LULC,HIGH
5,"Due to the weeding practice, dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",herbaceous vegetation,LULC,LOCATED_IN,fallows,LULC,HIGH
5,"Due to the weeding practice, dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",herbaceous vegetation,LULC,LOCATED_IN,rangelands,LULC,HIGH
6,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",woody vegetation,LULC,LOCATED_IN,rangelands,LULC,HIGH
6,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",decrease,CHANGE,LOCATED_IN,rangelands,LULC,HIGH
6,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",rangelands,LULC,LOCATED_IN,Niamey,LOC,HIGH
7,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",increase,CHANGE,LOCATED_IN,Saloum,LOC,HIGH
7,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",increase,CHANGE,LOCATED_IN,Senegal,LOC,HIGH
7,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",cultivated land,LULC,LOCATED_IN,Saloum,LOC,HIGH
7,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",cultivated land,LULC,LOCATED_IN,Senegal,LOC,HIGH
7,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",gained,CHANGE,LOCATED_IN,Saloum,LOC,HIGH
7,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",gained,CHANGE,LOCATED_IN,Senegal,LOC,HIGH
8,Irrigation from rivers is regarded as minor driver of,N/A,N/A,N/A,N/A,N/A,N/A
9,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",rangelands,LULC,AFFECTED_BY,grazing,PROCESS,HIGH
9,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",fallows,LULC,AFFECTED_BY,grazing,PROCESS,HIGH
9,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",cropped fields,LULC,AFFECTED_BY,grazing,PROCESS,HIGH
9,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",grazing,PROCESS,EXTENDS_TO,fallows,LULC,HIGH
9,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",grazing,PROCESS,EXTENDS_TO,cropped fields,LULC,HIGH
