article_id,lulc_sentence
Article_1,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.
Article_1,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground."
Article_1,"On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%)."
Article_1,Rapid population growth triggered by rural urban migration coupled with hasty socio-economic development post democracy are the main drivers of these changes.
Article_1,"Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city."
Article_1,"Prior to this, the area was occupied by terraced agricultural fields and some 13 villages."
Article_1,Planned development for Thimphu started in 1985 with the establishment of National Urban Development Commission.
Article_1,"Expansion of Thimphu city in 2002 added local areas of Lanjophaka, Heo-Samteling, Jungshi-Pamtsho, Taba and Dechencholing in the north and Changjiji, Lungtenphu, Simtokha, and Babesa in the south ( Fig."
Article_1,"The period, 2002-2018 represents a rapid expansion of the city accompanied by expediated socio-economic development that led to significant changes in the city's landscape."
Article_1,"The resultant improvement in basic facilities combined with creation of additional jobs further attracted more immigration from rural areas and lesser developed cities, causing a boom in real estate and informal settlements and triggering significant changes in land uses."
Article_1,"Although small, agriculture land shows a significant probability to transition to built-up area which has been the trend in many cities The findings indicate that rapid development of urban built will lead to sharp declines in forest and agriculture and increase in urban population."
Article_1,Significant increase in built-up areas were associated with parallel loss of important land cover types such as forest and agriculture.
Article_1,Significant changes in Thimphu's landscapes are correlated with the government's decision to expand the city northwards and southwards.
Article_1,This expansion received a boost after the institution of constitutional democracy in 2008 which brought in expediated development in the city.
Article_1,"The results of prediction for 2050 also did not bear well for Thimphu city, with forest cover diminishing to a mere 4.28km 2 (16.32%) which are also highly fragmented."
Article_1,"Loss of forest cover will degrade important ecological services and increase vulnerability of the city to landslides, gulley erosion, drying of water sources, worsened air pollution, and loss of important biodiversity."
Article_2,"The highest land conversion rate occurs in the North Central and Central Coast regions, but conversion of agricultural land for urbanization is mainly in the Red River Delta and Southeast."
Article_2,Land use is also a manifestation of various human activities to exploit the landscape.
Article_2,"Therefore, landuse change is seen as a human activity to change the natural landscape and emphasize the role and function of land for socio-economic activities Urbanization is a socio-economic process manifested by a rapid increase in the number and size of urban population characteristics."
Article_2,"It is also defined as urban expansion, as the process of concentrating the population into cities, or as the rapid formation of urban population points based on production and life development Scientists also examine and observe urbanization from many different angles | Land use change in the World: a literature review: Land area of the world is estimated at 13 billion hectares, of which agricultural land accounts for 37.6%, equivalent to 4.9 billion hectares Built-up land occupied a relatively small area of about 1-3% in 2005, but it is expected to increase to about 260 to 420 million hectares (about 4-5%) by 2050 ."
Article_2,"As for urban land, this area could expand from 40 to 143 million hectares in about 45 years, from 2007 to 2050 ."
Article_2,"The annual increase in built-up land in developing countries is about 3.6%, while 2.9% is the average increase in industrial countries."
Article_2,"The Pacific and Southeast Asia regions have witnessed considerable land conversion rates from 1990 to 2000, at 7.2% and 6.4%, respectively (ANGEL Along with labour and capital, the land is a crucial factor for production in classical economics, and land use is considered the agricultural economy's backbone Although land-use conversion is essential to promote social progress and economic development, it also has many undesirable effects."
Article_2,"In the north, Vietnam borders China; and in the west Laos and Cambodia."
Article_2,"The length of the country from north to south is 1,650 km, while the narrowest position, east to west, is nearly 50 km."
Article_2,"It is a tropical country, with most of the area being hilly (accounting for half of the territory), and where the terrain is mainly low mountains."
Article_2,"Almost all of the population lives in rural areas and works in the agricultural sector, so one-third of the land is used for agriculture (FAO 2019)."
Article_2,"According to land use purposes, the land is divided into three main land groups: non-agricultural, agricultural, and unused land."
Article_2,"Agricultural land is divided into ground for production agriculture, forestry land, aquaculture land, salt-making, and other agriculture."
Article_2,Land for production agriculture includes annual cropland (paddy land and other short-term cropland) and perennial cropland.
Article_2,"The forest land is divided into protection, production, and special-use forest land."
Article_2,"Paddy land in Vietnam is concentrated in two main areas, the Mekong Delta and Red River Delta Delta (Fig."
Article_2,"While non-agricultural land is reported to have increased, the area of this GIS layer showed a 21.5% decrease when verified by the land cover map."
Article_2,"By 2019, Vietnam had established 373 industrial zones with a total area of 114.4 thousand hectares, accounting for 56.9% of the total planned land area."
Article_2,"According to the statistics, the evolution of land use purpose is occurring in all localities (Fig."
Article_2,"Moreover, rapid urbanization has been a significant highlight in the development process of Vietnam in recent decades."
Article_2,"In 1990, the number of urban areas in Vietnam was about 500 and the urbanization rate was about 17%."
Article_2,"By 2019, the number of urban areas in Vietnam had increased to 846 ."
Article_2,"In 1986, Vietnam's urban population was under 13 million, but by 2019, that number was 37 million (WORLD BANK, 2020a)."
Article_2,"Urban economic growth is twice the national average, contributing over half of the gross domestic product ( According to the objective rule, urbanization must originate from non-agricultural economic development such as industry, commerce, and services  to replace the agricultural economy gradually."
Article_2,"However, unlike other countries in the region and the world, urbanization in Vietnam is characterized by rural urbanization."
Article_2,"Urban developments and growth in Vietnam are late and slower than in some regional countries The trend of changing land use purposes in urban areas is to reduce agricultural land, unused land and increase non-agricultural land."
Article_2,"Growth in the non-agricultural land area is mainly due to expanding urban land, land for industrial zones, and construction activities."
Article_2,"The size of urban land increased due to the conversion from agricultural land, of which rice land was the primary type."
Article_2,"In 2011-2015, following the data from MoNRE, Vietnam converted 89.4 thousand hectares of rice land to urban land."
Article_2,"In a broader view for the 2007-2017 period, the converted area is estimated at 125.9 thousand ha (data calculated by the author through the land cover maps)."
Article_2,"This transition is mainly concentrated in three regions: the Southeast, the Red River Delta, and the Mekong River Delta."
Article_2,"Conversion of agricultural land for investment in urban, industrial, and economic zone projects occurs in major urban areas like Binh The current status of such land conversion has a significant impact on people's lives, especially those living in peri-urban areas."
Article_2,Land use change has also created social conflicts and intensified violence due to land contention and because the land is the primary source of livelihood for many peri-urban farming households.
Article_2,"Land in the peri-urban area is becoming increasingly scarce, leading to higher land prices in this area, inadvertently creating psychological pressure on people."
Article_2,"In economic terms, urbanization creates a change in land use in the peri-urban area."
Article_2,The transfer of a large part of the agricultural land into the construction or industrial zones and urban residential areas has resulted in loss of the livelihoods of many farmers.
Article_2,This problem forces them to switch from agricultural production to non-agricultural activities | Conclusions: Urban expansion and rural restructuring due to land-use conflicts are increasing worldwide The study data also showed that land conversion is mainly concentrated in the North Central and Central Coast areas.
Article_2,"The percentage of agricultural and non-agricultural land in these regions' provinces has mostly increased by over 7%, while unused land decreased by over 100%."
Article_2,"However, the conversion of land from agriculture to urban areas is concentrated in two regions: the Southeast and the Red River Delta."
Article_2,"Furthermore, the transition trend has also shifted to the East of Vietnam to take advantage of the long coastline."
Article_2,"Economically, urbanization and industrialization have left 11 million hectares of land abandoned and in danger of degradation and reduces the quality and productivity of agricultural products, thereby significantly affecting the income of farmers."
Article_2,"In addition, the transformation of agricultural land to non-agricultural also forces farmers to switch to non-agricultural activities."
Article_2,The change in land use has also created social conflicts and intensified violence due to land disputes.
Article_3,| INTRODUC TI ON: The IPBES 2019 global report ranked land-use change as the greatest driver of declines in nature and biodiversity.
Article_3,"Combined with the direct exploitation of nature through hunting, fishing, logging, and harvesting, these threats are thought to account for more than 50% of the human impacts on terrestrial and freshwater ecosystems It is estimated that the biodiversity of terrestrial communities has declined on average by more than one-fifth Land-use change can have direct impacts on species through the destruction of habitat and modification of the environment Land-use change also interacts with other global change drivers."
Article_3,"A protected, floristically diverse grassland, for example, may support more and different species than a newly created grass field used for recreation."
Article_3,"However, if vital demographic rates such as births, deaths, and migration are examined, one may find that the agricultural area constitutes a sink habitat, with an elevated death rate that is concealed by immigration (e.g."
