,id_segment,text_segment,relevance_label,relevance_type_norm
0,1-s2.0-S0301479717300713-main_226b,"#text': '(Lambin et al., 2003)'}], '#text': 'With high confidence, rainfall variability is a driving force of [LULCC]",0,
1,1-s2.0-S0303243414001718-main_19b,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2,"DRIVERS, LULCC"
2,1-s2.0-S030438781000043X-mainext_313b,#text': 'Few investment opportunities are available to most Rwandan farmers,0,
3,1-s2.0-S095937809800003X-main_75b,#text': 'Pastoral production has often existed in some sort of symbiotic interaction with the [agriculture],1,PRACTICES
4,1-s2.0-S0006320709005400-main_16b,#text': 'The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,2,LULC
5,1-s2.0-S095937809800003X-main_8,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",1,LULCC
6,1-s2.0-S0304387816300670-main_75,"(2006), who estimate an increase in the national [urban] share of 0.45 percent with a reduction in national rainfall of 1 percent",1,"DRIVERS, LULCC"
7,1-s2.0-S0140196313000608-main_212,"(2011)'}], '#text': 'Perhaps most importantly, the meta-analysis exposes the surprisingly huge gap in the scientific literature when it comes to actual measurements of [crop] land change in the Sahel, which are in sharp contrast to the number of scientific papers and policy discourses that refer to important past and ongoing changes in land use/cover and [desertification]",0,
8,1-s2.0-S0140196322000143-main_121,").'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.2.', '#text': '[Land use ]change in the study site'}, 'p': {'ref': [{'@type': 'figure', '@target': '#fig_1', '#text': '2a'}, {'@type': 'figure', '@target': '#fig_1', '#text': '2b'}], '#text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",2,LULCC
9,1-s2.0-S0140196322000143-main_146,").'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.4.', '#text': 'Trends of woody vegetation over two decades'}, 'p': [{'ref': [{'@type': 'figure', '@target': '#fig_3', '#text': 'SI 4a,'}, {'@type': 'figure', '#text': 'c'}, {'@type': 'figure', '@target': '#fig_3', '#text': 'SI 4b,'}, {'@type': 'figure', '#text': 'd'}], '#text': 'Plant density decreases regardless of [land use] type or topographic position (Fig",0,
10,1-s2.0-S0264837715302131-main_119,[Agriculture] in this region has been dominated over the past three decades by [cotton] production,2,"LULC, PRACTICES"
11,1-s2.0-S016788090800131X-main_76,"[Forest] land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery [forest] did not change much",2,LULCC
12,1-s2.0-S0304387816300670-main_602,"30 km rain catchment areas around [city]-lights.'}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@xml:id': 'fig_9', 'head': None, 'label': None, 'figDesc': 'The model is closed by noting that the untraded services market must clear",0,
13,1-s2.0-S0140196313000608-main_106,A detailed screening of the texts allowed us to remove papers that were not associated with [crop] land change processes in the Sahel,0,
14,1-s2.0-S030438781000043X-mainext_313a,"A new [Land Use ]and Management Law enacted in 2005 moves away from state ownership and seeks to register all land and issue of private titles, with the aim of promoting large-scale, commercial [agriculture].'}, {'ref': [{'@type': 'bibr', '@target': '#b13', '#text': 'Andre and Platteau (1998)'}, {'@type': 'bibr', '@target': '#b99', '#text': 'Place and Hazell (1993)'}, {'@type': 'bibr', '@target': '#b77', '#text': 'Jose (2008)'}],",0,
15,1-s2.0-S0264837715302131-main_147,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) will be converted to farmland and degraded [savanna] by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",2,LULCC
16,1-s2.0-S0140196314000536-main_381,"Active degradation is rarely spotted within 10 years and events such as bush-fires, floods or frequent [crop] rotation make trends often insignificant",0,
17,1-s2.0-S0006320709005400-main_198,"Although such schemes clearly have the potential to benefit biodiversity and the wider environment, further research is required to quantify the benefits and risks, assess the scales over which benefits are being and are likely to be delivered, and to assess the socio-economic implications for livelihoods and land-use .'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.3.', '#text': 'Wider implications'}, 'p': {'ref': [{'@type': 'figure', '@target': '#fig_0', '#text': '1'}, {'@type': 'bibr', '@target': '#b54', '#text': '(Laporte et al., 2007)'}, {'@type': 'bibr', '#text': '(Laurance et al., 2006a,b;'}, {'@type': 'bibr', '@target': '#b89', '#text': 'Wilkie et al., 2000;'}, {'@type': 'bibr', '@target': '#b92', '#text': 'Zhang et al., 2006)'}, {'@type': 'bibr', '@target': '#b16', '#text': '(Butler and Laurance, 2008)'}], '#text': 'The tropical [forest] zone in West Africa has experienced centuries of human modification, leading to a substantial decline in [forest] cover and loss of [forest] biodiversity",1,LULCC
18,1-s2.0-S0167880913003502-main_147,"Another example, using a 7 year wheat-[corn] rotation in China (Table ; , showed that CT had 0.7 Mg C ha -1 less than NT by the fixed depth method but CT had 0.6 Mg C more than NT by the ESM method (Table ).""}, {'ref': [{'@type': 'bibr', '@target': '#b41', '#text': 'Ellert and Bettany (1995)'}, {'@type': 'bibr', '@target': '#b92', '#text': '(Lee et al., 2009)'}, {'@type': 'bibr', '@target': '#b55', '#text': '(Gifford and Roderick, 2003)'}, {'@type': 'bibr', '@target': '#b106', '#text': '(McBratney and Minasny, 2010)'}, {'@type': 'bibr', '@target': '#b181', '#text': '(Wendt and Hauser, 2013)'}, {'@type': 'bibr', '@target': '#b92', '#text': 'Lee et al",0,
19,1-s2.0-S0140196322000143-main_99,Another variance analysis using GLM was conducted for the variable means of all recorded trees and [shrubs] per [land use] type to assess the contribution of the size of individual trees and [shrubs] to the differences in woody vegetation between [land use] types,1,LULC
