Unnamed: 0,id_segment,text_segment,relevance_label,relevance_type_norm
0,1-s2.0-S0301479717300713-main_226b,"' Lambin et al., 2003 ' , ' 'With high confidence, rainfall variability is a driving force of",0,
1,1-s2.0-S0303243414001718-main_19b,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land e.g",2,"DRIVERS, LULCC"
2,1-s2.0-S030438781000043X-mainext_313b,'Few investment opportunities are available to most Rwandan farmers,0,
3,1-s2.0-S095937809800003X-main_75b,'Pastoral production has often existed in some sort of symbiotic interaction with the,1,PRACTICES
4,1-s2.0-S0006320709005400-main_16b,'The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,2,LULC
5,1-s2.0-S095937809800003X-main_8,"1993 ' , ' ""An increase of land under can be in the form of either a clearing more land within the present territory, or b migrating to other areas to develop new land for",1,LULCC
6,1-s2.0-S0304387816300670-main_75,"2006 , who estimate an increase in the national share of 0.45 percent with a reduction in national rainfall of 1 percent",1,"DRIVERS, LULCC"
7,1-s2.0-S0140196313000608-main_212,"2011 ' , ' 'Perhaps most importantly, the meta-analysis exposes the surprisingly huge gap in the scientific literature when it comes to actual measurements of land change in the Sahel, which are in sharp contrast to the number of scientific papers and policy discourses that refer to important past and ongoing changes in land use cover and",0,
8,1-s2.0-S0140196322000143-main_121,".' , ' 'head': ' n': '4.2.', ' 'change in the study site' , 'p': 'ref': , ' 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",2,LULCC
9,1-s2.0-S0140196322000143-main_146,".' , ' 'head': ' n': '4.4.', ' 'Trends of woody vegetation over two decades' , 'p': , ' 'Plant density decreases regardless of type or topographic position Fig",0,
10,1-s2.0-S0264837715302131-main_119,in this region has been dominated over the past three decades by production,2,"LULC, PRACTICES"
11,1-s2.0-S016788090800131X-main_76,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",2,LULCC
12,1-s2.0-S0304387816300670-main_602,"30 km rain catchment areas around -lights.' , ' ' xml:id': 'fig 9', 'head': None, 'label': None, 'figDesc': 'The model is closed by noting that the untraded services market must clear",0,
13,1-s2.0-S0140196313000608-main_106,A detailed screening of the texts allowed us to remove papers that were not associated with land change processes in the Sahel,0,
14,1-s2.0-S030438781000043X-mainext_313a,"A new and Management Law enacted in 2005 moves away from state ownership and seeks to register all land and issue of private titles, with the aim of promoting large-scale, commercial .' , 'ref': ,",0,
15,1-s2.0-S0264837715302131-main_147,"About 26 and 31% of the total area of natural vegetation , woodland and tree will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",2,LULCC
16,1-s2.0-S0140196314000536-main_381,"Active degradation is rarely spotted within 10 years and events such as bush-fires, floods or frequent rotation make trends often insignificant",0,
17,1-s2.0-S0006320709005400-main_198,"Although such schemes clearly have the potential to benefit biodiversity and the wider environment, further research is required to quantify the benefits and risks, assess the scales over which benefits are being and are likely to be delivered, and to assess the socio-economic implications for livelihoods and land-use .' , ' 'head': ' n': '4.3.', ' 'Wider implications' , 'p': 'ref': , ' 'The tropical zone in West Africa has experienced centuries of human modification, leading to a substantial decline in cover and loss of biodiversity",1,LULCC
18,1-s2.0-S0167880913003502-main_147,"Another example, using a 7 year wheat- rotation in China Table ; , showed that CT had 0.7 Mg C ha -1 less than NT by the fixed depth method but CT had 0.6 Mg C more than NT by the ESM method Table ."" , 'ref': ' type': 'bibr', ' target': ' b41', ' 'Ellert and Bettany 1995 ' , ' type': 'bibr', ' target': ' b92', ' ' Lee et al., 2009 ' , ' type': 'bibr', ' target': ' b55', ' ' Gifford and Roderick, 2003 ' , ' type': 'bibr', ' target': ' b106', ' ' McBratney and Minasny, 2010 ' , ' type': 'bibr', ' target': ' b181', ' ' Wendt and Hauser, 2013 ' , ' type': 'bibr', ' target': ' b92', ' 'Lee et al",0,
19,1-s2.0-S0140196322000143-main_99,Another variance analysis using GLM was conducted for the variable means of all recorded trees and per type to assess the contribution of the size of individual trees and to the differences in woody vegetation between types,1,LULC
20,1-s2.0-S003442571730041X-main_24,"As current classification schemes of the class 'cropland' encompass fallowed fields in both time and space for the Sahel, there is a need to determine the impact of fields on the NDVI signal and related trends."" , 'ref': , ' 'From the Earth Observation EO perspective, a successful differentiation between cropped and fallowed fields is required to improve our understanding of the mechanisms and drivers of observed NDVI trends in relation to changes in the spatio-temporal patterns of - rotation due to cropping expansion abandonment",0,
21,1-s2.0-S0264837715302131-main_103,"Assuming the dynamics recorded in the second period , the amounts of land covered by , woodland and tree will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded and farmland will increase by 9 and 22% of the total area, respectively",2,LULCC
22,1-s2.0-S003442571730041X-main_4,"At present, no studies have considered the importance of the different NDVI signals of cropped and fallowed fields when interpreting NDVI trends, as both field types are commonly merged into a single 'cropland' class",0,
23,1-s2.0-S0169204617300270-main_139,"Based on the consistency of the results of the three methods, we assigned confidence levels Table and .' , 'ref': ' type': 'bibr', ' target': ' b24', ' ' Chin, 2002 ' , ' ' sprawl is difficult to detect without comparing spatial plans with existing housing",0,
24,1-s2.0-S0168192311001122-main_97,"Based on this assumption, each of the 64 sub-basins was classified according to its average -cropland ratio in the three scenarios",0,
25,1-s2.0-S0140196310000893-main_63,"Between brackets: absolute contribution of fire type to respectively the first and second axis: with an absolute contribution 10% are underlined and in italic respectively for axis 1 and 2.' , 'classified Landsat data: sampling points were stratified according to the classified images, but the sampling was subjective inside each class",0,
26,1-s2.0-S0308521X12000157-main_281b,Can institutional contexts be changed Neither the outcomes nor the processes of change are predetermined in the CoS-SIS Programme,0,
27,1-s2.0-S095937809800003X-main_52,Climatic variations influence farmers' immediate as well as long-term choice of patterns,0,
28,1-s2.0-S0140196310000893-main_115,"Conversely the decrease in the herbaceous standing , due to the shortening of the period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",2,"DRIVERS, LULCC, PRACTICES"
29,1-s2.0-S0169204617300270-main_221,"Coping capacities were therefore assumed to be lower for the Bolgatanga area, which could lead to local food crises provoked by sprawl where land becomes useless for .' , ' 'head': ' n': '3.2.', ' 'Driving forces of development ' , 'p': development in both study areas Table",1,"DRIVERS, LULCC"
30,1-s2.0-S0264837715302131-main_61,"Cover loss refers to that was subjected to a change with a concomitant loss in a regressive manner for example, from to or from woodland to farmland",0,
31,1-s2.0-S0304387816300670-main_363,Decreased moisture is then likely to decrease local income,0,
32,1-s2.0-S0168192311001122-main_99,"Depending on the average -cropland ratio, a sub-basin is classified into one of the seven classes Table , where -cropland ratio and hence availability is decreasing from class 1 to 7.' , ' 'head': ' n': '2.5.', ' 'Simulation of yields' , 'p': , ' 'EPIC is a field-scale model that is designed to simulate drainage areas which are characterized by homogeneous weather, soil, landscape, rotation, and management system parameters",0,
33,1-s2.0-S0168192311001122-main_64,"described three scenarios assuming increasing population density, but different reduction in population growth rates",0,
34,1-s2.0-S030438781000043X-mainext_317,"describes Rwandan as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",2,"DRIVERS, PRACTICES"
35,1-s2.0-S0140196313000608-main_62,"Despite the often mentioned ""cash revolution"", the so-called ""Peanut Basin"" of Senegal and the ""New basin"" in Mali provide telling illustrations of partial intensification paths and farmers ' possible soil mining",0,
36,1-s2.0-S0140196313000608-main_121,"Drivers of change in land included demographic, economic, agro-technical, institutional, and climatic drivers Table .' , 'ref': ' type': 'table', ' '2' , ' 'Some of the drivers initially identified were never mentioned in the case studies and were therefore removed from the analysis",0,
37,1-s2.0-S0140196313000608-main_121,"Drivers of change in land.', 'graphic': ' coords': '8,108.00,66.73,369.83,358.41', ' type': 'bitmap' , ' ' xml:id': 'fig 3', 'head': 'Fig",0,
38,1-s2.0-S0301479717300713-main_45,"Due to the low capacities for food provision, especially in the dry season, up to 100,000 people in 2000; migrate to southern Ghana in the dry season to find work.' , ' 'head': ' n': '2.2.', ' 'Mixed-method approach and confidence reporting' , 'p': , ' 'Many analyses originating from remote sensing add social information through quantitative data",0,
39,1-s2.0-S003442571730041X-main_41,"Due to the weeding practice, dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",2,PRACTICES
40,1-s2.0-S0301479717300713-main_978,"Error 0.3217 0.000001553 1.97 0.4507 1Q Estimate 6.76E-01 1.18E-05' , 'cell': , 'cell': , 'cell': ', None, ' cols': '2', ' ' 2.61E-05' , '0.00001566 1.663 0.09715.' , 'note': 'p': ""Signif",0,
41,1-s2.0-S0301479717300713-main_23,"Examples for the eminent relevance of such climatic parameters for in marginalised rural regions can be found world-wide, but are most prominent in the Global South , including countries like Ghana in West Africa.' , 'ref': ' type': 'bibr', ' target': ' b8', ' ' Antwi-Agyei et al., 2016;' , ' type': 'bibr', ' target': ' b63', ' 'Mertz et al., 2010;' , ' type': 'bibr', ' target': ' b73', ' 'Reenberg, 2001;' , ' type': 'bibr', ' target': ' b89', ' 'Tschakert, 2007 ' , ' type': 'bibr', ' target': ' b63', ' 'Mertz et al",0,
42,1-s2.0-S030438781000043X-mainext_780,"Fenske Journal of Development Economics 95 2011 137-156' , ' ' place': 'foot', ' n': '3', ' xml:id': 'foot 2', 'p': 'The appropriate counterfactual question is not whether the extent of cocoa would have been larger with more secure tenure, but rather whether the would have spread faster",0,
43,1-s2.0-S0167880913003502-main_111,"For example, materials with high C:N, characteristic of cereal residues, reduce the available N in the soil due to N immobilization and could result in lower production, while residues with high N contents and low C:N ratios, as is the case with many legume residues and legume cover crops, increase soil N availability and possibly production .' , 'ref': , ' 'The amount of residue retained after harvest, either on the soil surface or incorporated, is a key component to CA performance",0,
44,1-s2.0-S0169204617300270-main_92,"For example, Poku-Boansi Amoako 2015 compared spatial inequalities of cities within Ghana, including Takoradi and Bolgatanga, using statistics secondary data without consulting experts or comparing development with the aid of remote sensing data.' , 'The specific research questions are:', ' What are the patterns of peri- development and differences between northern and southern Ghana, using Bolgatanga as an example for the north and Takoradi as an example for the south What are the determinants of development for both study areas Which conclusions can be drawn for planning What are the current opportunities and challenges of planning and how can they be linked to sprawl What are the dis- advantages of a mixed method approach to analyse peri- patterns ', 'ref': , ' 'The analysis of the dynamics of and peri- areas from a social science perspective introduces reasoning of human behaviour and provides a background of historical, cultural and social development e.g",0,
45,1-s2.0-S0169204617300270-main_281,"For the Bolgatanga area, PPPs were not mentioned by the experts and were proposed by literature only for agricultural areas.' , 'Another opportunity for the Takoradi area is the building of multi-storey structures for residences in order to efficiently utilise the limited space in the centre reflecting medium confidence",0,
46,1-s2.0-S0301479717300713-main_223,"From the expert interviews, we learned that migration is a driver and a consequence of and population pressure to which the driver ""labour shortage"" is related",1,DRIVERS
47,1-s2.0-S0169204617300270-main_321,"Furthermore, by developing datasets with the requisite data structures, we could use additional landscape indices to reveal further information about the spatial arrangement and heterogeneity of development , and to further discriminate levels of landscape fragmentation and or aggregation over time.', 'ref': , ' 'We adapted the confidence level approach of Jacobs, Burkhard, to a general assessment of findings from a mixed-method approach",0,
48,1-s2.0-S0301479717300713-main_912,"He has no power, beyond his salary -that 's it P5 no driver : If government earmark this land as a reserve, nobody would go in",0,
49,1-s2.0-S0140196310000893-main_39,However agricultural fires should be distinguished from the other fires that are wildland fires and predominantly grass fires fires,0,
50,1-s2.0-S0304387816300670-main_219,However these factors X ij could also affect the impact of climate changes on share growth rates,0,
51,1-s2.0-S0301479717300713-main_236,"However, it also becomes evident that the majority of parameters with low or very low confidence potentially contribute to food and livelihood security, for example, improved varieties, agricultural programmes, irrigation, fertilizer subsidies, and credits",0,
