article_id,original_sentence,event_found,from_lulc,to_lulc,change_indicator,lulc_process,magnitude_percent,magnitude_area,error,llm_raw_output
Article_1,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,False,,,,,,,,NO_EVENT
Article_1,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",False,,,,,,,,2002
Article_1,"On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%).",False,,,,,,,,1.01%
Article_1,Rapid population growth triggered by rural urban migration coupled with hasty socio-economic development post democracy are the main drivers of these changes.,False,,,,,,,,NO_EVENT
Article_1,"Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city.",False,,,,,,,,no event
Article_1,"Prior to this, the area was occupied by terraced agricultural fields and some 13 villages.",False,,,,,,,,some 13
Article_1,"Expansion of Thimphu city in 2002 added local areas of Lanjophaka, Heo-Samteling, Jungshi-Pamtsho, Taba and Dechencholing in the north and Changjiji, Lungtenphu, Simtokha, and Babesa in the south ( Fig.",False,,,,,,,,No event
Article_1,"The period, 2002-2018 represents a rapid expansion of the city accompanied by expediated socio-economic development that led to significant changes in the city's landscape.",False,,,,,,,,NO_EVENT
Article_1,"These expediated changes can be attributed to: i) governments approval for expansion of the city in 2002, followed by the hastened construction of city infrastructure post Bhutan's transition to democracy in 2008.",False,,,,,,,,no event
Article_1,"The resultant improvement in basic facilities combined with creation of additional jobs further attracted more immigration from rural areas and lesser developed cities, causing a boom in real estate and informal settlements and triggering significant changes in land uses.",False,,,,,,,,causing
Article_1,"Although small, agriculture land shows a significant probability to transition to built-up area which has been the trend in many cities The findings indicate that rapid development of urban built will lead to sharp declines in forest and agriculture and increase in urban population.",False,,,,,,,,no event
Article_1,Results clearly confirm significant changes in LULC from the start of expansion to current area in 2002 to 2018.,False,,,,,,,,No event
Article_1,Significant increase in built-up areas were associated with parallel loss of important land cover types such as forest and agriculture.,False,,,,,,,,no event
Article_1,Significant changes in Thimphu's landscapes are correlated with the government's decision to expand the city northwards and southwards.,False,,,,,,,,no event
Article_1,"The results of prediction for 2050 also did not bear well for Thimphu city, with forest cover diminishing to a mere 4.28km 2 (16.32%) which are also highly fragmented.",False,,,,,,,,4.28km
Article_1,"Loss of forest cover will degrade important ecological services and increase vulnerability of the city to landslides, gulley erosion, drying of water sources, worsened air pollution, and loss of important biodiversity.",False,,,,,,,,landslides
Article_2,"However, we do not know how the land transition in Vietnam has been proceeding recently.",False,,,,,,,,NO EVENT
Article_2,Research results show that the land transition in Vietnam has been similar to the world trend.,False,,,,,,,,NO_EVENT
Article_2,"The highest land conversion rate occurs in the North Central and Central Coast regions, but conversion of agricultural land for urbanization is mainly in the Red River Delta and Southeast.",False,,,,,,,,no event
Article_2,Land use is also a manifestation of various human activities to exploit the landscape.,False,,,,,,,,Identified entities
