article_id,sentence,relation_type,matched_text_by_pattern,entities_in_match
Article_2,"It is also defined as urban expansion, as the process of concentrating the population into cities, or as the rapid formation of urban population points based on production and life development Scientists also examine and observe urbanization from many different angles | Land use change in the World: a literature review: Land area of the world is estimated at 13 billion hectares, of which agricultural land accounts for 37.6%, equivalent to 4.9 billion hectares Built-up land occupied a relatively small area of about 1-3% in 2005, but it is expected to increase to about 260 to 420 million hectares (about 4-5%) by 2050 .",CHANGE_HAS_MAGNITUDE,increase to about,"[{'text': 'increase', 'label': 'CHANGE'}]"
Article_2,"By 2019, the number of urban areas in Vietnam had increased to 846 .",CHANGE_HAS_MAGNITUDE,increased to 846,"[{'text': 'increased', 'label': 'CHANGE'}, {'text': '846', 'label': 'CARDINAL'}]"
Article_2,"The percentage of agricultural and non-agricultural land in these regions' provinces has mostly increased by over 7%, while unused land decreased by over 100%.",CHANGE_HAS_MAGNITUDE,increased by over,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_2,"The percentage of agricultural and non-agricultural land in these regions' provinces has mostly increased by over 7%, while unused land decreased by over 100%.",CHANGE_HAS_MAGNITUDE,decreased by over,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_2,"However, the conversion of land from agriculture to urban areas is concentrated in two regions: the Southeast and the Red River Delta.",LULC_TRANSFORMATION,agriculture to urban,"[{'text': 'agriculture', 'label': 'LULC'}, {'text': 'urban', 'label': 'LULC'}]"
Article_4,"The water body area did not change much, and the area of unused land also increased, which was mainly caused by grassland and water body shrinkage.",LULC_TRANSFORMATION,water body,"[{'text': 'water body', 'label': 'LULC'}]"
Article_4,"The water body area did not change much, and the area of unused land also increased, which was mainly caused by grassland and water body shrinkage.",LULC_TRANSFORMATION,water body,"[{'text': 'water body', 'label': 'LULC'}]"
Article_4,"The water body area did not change much, and the area of unused land also increased, which was mainly caused by grassland and water body shrinkage.",LULC_TRANSFORMATION,water body,"[{'text': 'water body', 'label': 'LULC'}]"
Article_4,"The water body area did not change much, and the area of unused land also increased, which was mainly caused by grassland and water body shrinkage.",LULC_TRANSFORMATION,water body,"[{'text': 'water body', 'label': 'LULC'}]"
Article_7,"Overall, in the 2018-2040 time period, this trend will negatively impact RA and DD, leading to a change of -3.88% yr -1 (R 2 = 0.922) in DCEN, which is clearly evident in different time intervals.",CHANGE_HAS_MAGNITUDE,change of -3.88,"[{'text': 'change', 'label': 'CHANGE'}]"
Article_7,"From 2007 to 2018, it showed a -4.67% yr -1 decrease, whereas in the 2018-2025 and 2025-2030 periods, it decreased -12.69% yr -1 and increased 4.78% yr -1 , respectively.",CHANGE_HAS_MAGNITUDE,increased 4.78,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_7,"In comparison to 2018, the FPLR areas of the very high risk category will grow approximately 2.5 times in 2025-2040.",CHANGE_HAS_MAGNITUDE,grow approximately,"[{'text': 'grow', 'label': 'CHANGE'}]"
Article_10,"Similarly considered as degrading land transitions are those involving the conversion of grasslands into croplands, artificial surface areas and otherlands.",LULC_TRANSFORMATION,grasslands into croplands,"[{'text': 'grasslands', 'label': 'LULC'}, {'text': 'croplands', 'label': 'LULC'}]"
Article_11,"Additionally during this period both the cities have also experienced an increase in its built-up area and a consistent reduction in water, vegetation and soil, indicating a rapid expansion of urban areas at the cost of its vegetation, soil and water bodies.",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_11,"In case of both of the cities, growth along the water body was noticeable.",LULC_TRANSFORMATION,water body,"[{'text': 'water body', 'label': 'LULC'}]"
Article_12,"As can be seen in Table The result of this study is in agreement with the study of Most croplands were situated in relatively flat areas in 1957, however, these areas were affected by the construction of the Fincha dam in 1973 BL-bare land, CL-cultivated land, FL-forestland, SA-settlement area, WB-water body, WL-wetland.",LULC_TRANSFORMATION,water body,"[{'text': 'water body', 'label': 'LULC'}]"
Article_12,"The dominant contributors to the decline of forest cover were the conversions of forest land to cultivated land 3608.44 ha (41.8 %), wetlands 965.52 ha (11.18 %) and settlement areas 717.72 ha (8.3 %) as shown in (Table While some parts of the original cultivated land was were lost to other LULC classes, such as settlement area, 1983.87 ha(10.66 %) and it has also expanded, mainly due to area gains from wetlands,5445.92 ha (54.9 %), forest land, 3608.44 ha (41.8 %) and bare land, 2069.82 ha (72 %), as shown in (Table | Analysis of rate and patterns of LULC dynamics 1973-2019: During the 1973-2019 years periods, three land use types had shown an increasing trend; cultivated land (48.83 %), settlement areas (38.8 %) and water bodies (164 %).",LULC_HAS_AREA,wetlands 965.52,"[{'text': 'wetlands', 'label': 'LULC'}]"
Article_12,"The dominant contributors to the decline of forest cover were the conversions of forest land to cultivated land 3608.44 ha (41.8 %), wetlands 965.52 ha (11.18 %) and settlement areas 717.72 ha (8.3 %) as shown in (Table While some parts of the original cultivated land was were lost to other LULC classes, such as settlement area, 1983.87 ha(10.66 %) and it has also expanded, mainly due to area gains from wetlands,5445.92 ha (54.9 %), forest land, 3608.44 ha (41.8 %) and bare land, 2069.82 ha (72 %), as shown in (Table | Analysis of rate and patterns of LULC dynamics 1973-2019: During the 1973-2019 years periods, three land use types had shown an increasing trend; cultivated land (48.83 %), settlement areas (38.8 %) and water bodies (164 %).",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_12,"During this period, forest land 2985.27ha (34.6 %), bare land 2320.76 ha (80.8 %) and wetland 7919.26 ha (395.9 %), was lost in the study area.",LULC_HAS_AREA,wetland 7919.26,"[{'text': 'wetland', 'label': 'LULC'}]"
Article_12,World Commission on Environment and Development points out that people who are poor and hungry devastate their immediate environment in order to survive Socio-cultural factors were found to be an important underlying driving force of LULC change by 85.1 % of respondents.,CHANGE_HAS_MAGNITUDE,change by 85.1,"[{'text': 'change', 'label': 'CHANGE'}]"
Article_14,"The rise in the area of artificial surfaces was especially noticeable within the 1 km buffer zone: construction activities converted 36.1% of agricultural fields, 54.1% of forests, and 23.2% of barren lands into artificial surfaces.",CHANGE_HAS_MAGNITUDE,converted 36.1,"[{'text': 'converted', 'label': 'CHANGE'}]"
Article_14,The filling activities on the seashore resulted in a loss of water bodies of up to 26.5%.,LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_16,"From these findings, change detection analysis shows that the area used for agricultural land, barren land, forest, built-up areas, and waterbodies has increased by 5.17%, 3.39%, 0.84%, and 0.26%, respectively, between 1996 and 2019.",CHANGE_HAS_MAGNITUDE,increased by 5.17,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_16,The forest area has decreased by 9.67% at the same time.,CHANGE_HAS_MAGNITUDE,decreased by 9.67,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_16,"From these findings, change detection analysis shows that the area used for agricultural land, barren land, forest, built-up areas, and waterbodies has increased by 5.17 %, 3.39 %, 0.84 %, and 0.26 %, respectively, between 1996 and 2019.",CHANGE_HAS_MAGNITUDE,increased by 5.17,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_16,The forest area has decreased by 9.67 % at the same time.,CHANGE_HAS_MAGNITUDE,decreased by 9.67,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_19,"Pasture expanded by 46% from 1985 to 2017, and agriculture by 172%, mostly replacing old pasture fields.",CHANGE_HAS_MAGNITUDE,expanded by 46,"[{'text': 'expanded', 'label': 'CHANGE'}]"
