sentenceID,sentence,source,source_type,relationship,target,target_type,confidence
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",droughts,PROCESS,CAUSES,loss,CHANGE,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",loss,CHANGE,AFFECTS,woody vegetation cover,LULC,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",woody vegetation cover,LULC,LOST,large parts of the Sahel,LOC,HIGH
1,"'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible and large parts of the Sahel were designated as degraded land (e.g",large parts of the Sahel,LOC,DESIGNATED,degraded land,LULC,HIGH
2,'The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,West Africa,LOC,LOCATED_IN,forests,LULC,MEDIUM
2,'The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,Central Africa,LOC,LOCATED_IN,forests,LULC,MEDIUM
2,'The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,forests,LULC,COVERED,3 million km²,SURFACE_UNIT,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,INCREASES_BY,11.3%,PERCENT,HIGH (from 40% to 51.3%)
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,INCREASES_BY,14.7%,PERCENT,HIGH (from 47% to 64%)
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,LOCATED_IN,study site area,SURFACE_UNIT,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",arable lands,LULC,LOCATED_IN,study site area,SURFACE_UNIT,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",loss,PROCESS,AFFECTS,cropped fields,LULC,HIGH
3,").',, 'p': 'ref':, ' text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",fallows,LULC,LOST,due to loss,PROCESS,"HIGH (implied, but not explicit)"
4,in this region has been dominated over the past three decades by production,4. Each relation must follow the format: source_entity,SOURCE_LABEL,RELATIONSHIP,target_entity,TARGET_LABEL,
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",land,LULC,DECREASED_BY,half,CARDINAL,HIGH
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",land,LULC,OCCURS_DURING,2002,DATE,HIGH
5,"land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery did not change much",land,LULC,COMPARED_TO,1984,DATE,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",total area of natural vegetation,SURFACE_UNIT,CONTAINS,woodland,LULC,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",total area of natural vegetation,SURFACE_UNIT,CONTAINS,tree,LULC,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",woodland,LULC,CHANGE_TO,farmland,LULC,MEDIUM (implied conversion)
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",tree,LULC,CHANGE_TO,farmland,LULC,MEDIUM (implied conversion)
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",total area of natural vegetation,SURFACE_UNIT,DEGRADES,degraded,PROCESS,MEDIUM (degradation implies change)
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1975,DATE,OCCURS_BEFORE,1990,DATE,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1990,DATE,OCCURS_BEFORE,2010,DATE,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",2050,DATE,OCCURS_AFTER,2010,DATE,HIGH
6,"About 26 and 31% of the total area of natural vegetation (, woodland and tree) will be converted to farmland and degraded by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1975,DATE,OCCURS_BEFORE,2050,DATE,LOW (not directly stated
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by, woodland and tree will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded and farmland will increase by 9 and 22% of the total area, respectively",woodland,LULC,DECREASES_BY,5%,PERCENT,HIGH
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by, woodland and tree will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded and farmland will increase by 9 and 22% of the total area, respectively",tree,LULC,DECREASES_BY,9%,PERCENT,HIGH
