sentenceID,sentence,source,source_type,relationship,target,target_type,Comments,
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",droughts,PROCESS,CAUSES,loss,CHANGE,,
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",loss,CHANGE,AFFECTS,woody vegetation,LULC,,
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",woody vegetation,LULC,CHANGE_TO,degraded land,LULC,,
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",degraded land,LULC,LOCATED_IN,Sahel,LOC,,
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",droughts,PROCESS,OCCURS_DURING,1970s,TIME_PERIODS,,
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",droughts,PROCESS,OCCURS_DURING,1980s,TIME_PERIODS,,
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",loss,CHANGE,CAUSES,desertification,PROCESS,,
1,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land",desertification,PROCESS,CAUSES,degraded land,LULC,AFFECT INSTADE OF CAUSES,ALSO WE CAN INCLUDE THE LOSS  CHANGE LOCATED IN SAHEL
2,The forests of West and Central Africa probably originally covered a combined area of about 3 million km²,forests,LULC,LOCATED_IN,West and Central Africa,LOC,,
2,The forests of West and Central Africa probably originally covered a combined area of about 3 million km²,3 million km²,SURFACE_UNIT,MEASURES,forests,LULC,,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,LOCATED_IN,study site area,LOC,,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",arable lands,LULC,LOCATED_IN,study site area,LOC,,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",fallows,LULC,LOCATED_IN,study site area,LOC,,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",40%,PERCENT,FROM_TO,"51,30%",PERCENT,,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",47%,PERCENT,FROM_TO,64%,PERCENT,,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",increased,CHANGE,OCCURS_DURING,1996 to 2017,TIME_PERIODS,,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",loss,CHANGE,AFFECTS,fallows,LULC,,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",loss,CHANGE,CAUSES,increased,CHANGE,,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",fallows,LULC,CHANGE_TO,arable lands,LULC,,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",fallows,LULC,CHANGE_TO,cropped fields,LULC,,
4,Agriculture in this region has been dominated over the past three decades by cotton production,production,PROCESS,AFFECTS,cotton,LULC,,
4,Agriculture in this region has been dominated over the past three decades by cotton production,production,PROCESS,OCCURS_DURING,three decades,TIME_PERIODS,,
4,Agriculture in this region has been dominated over the past three decades by cotton production,cotton,LULC,AFFECTS,agriculture,LULC,not sure,i think we can label COTTON PRODUCTION as process  / also we can mention this process OCCURS_DURING three decades
5,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",forest,LULC,DECREASES_BY,half,PERCENT,,
5,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",decreased,CHANGE,OCCURS_DURING,1984 to 2002,TIME_PERIODS,,
5,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",half,QUANTITY,MEASURES,decreased,CHANGE,,
5,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",decreased,CHANGE,AFFECTS,forest,LULC,,
5,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",not change,PROCESS,AFFECTS,gallery forest,LULC,not sure,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",forest,LULC,CHANGE_TO,farmland,LULC,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",woodland,LULC,CHANGE_TO,farmland,LULC,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",tree savanna,LULC,CHANGE_TO,farmland,LULC,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",natural vegetation,LULC,CHANGE_TO,farmland,LULC,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",forest,LULC,CHANGE_TO,degraded savanna,LULC,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",woodland,LULC,CHANGE_TO,degraded savanna,LULC,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",tree savanna,LULC,CHANGE_TO,degraded savanna,LULC,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",natural vegetation,LULC,CHANGE_TO,degraded savanna,LULC,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",26%,PERCENT,MEASURES,converted,CHANGE,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",31%,PERCENT,MEASURES,converted,CHANGE,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",converted,CHANGE,OCCURS_IN,by 2050,TIME_PERIODS,,
