from_entity,from_type,from_text,to_entity,to_type,to_text,relationship,sentence,article_id,event_id
Article_1_FROM_LULC_0,FROM_LULC,forest,Article_1_CHANGE_0,CHANGE,declined,causes,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_FROM_LULC_0,FROM_LULC,forest,Article_1_TO_LULC_0,TO_LULC,"CHANGE: declined
PROCESS: deforestation
MAGNITUDE: 15%
DATE_RANGE: 2010 to 2020
START_DATE: 2010
END_DATE: 2020",converts_to,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_FROM_LULC_0,FROM_LULC,forest,Article_1_PROCESS_0,PROCESS,deforestation,undergoes,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_CHANGE_0,CHANGE,declined,Article_1_PROCESS_0,PROCESS,deforestation,part_of,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_CHANGE_0,CHANGE,declined,Article_1_MAGNITUDE_0,MAGNITUDE,15%,has_magnitude,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_PROCESS_0,PROCESS,deforestation,Article_1_MAGNITUDE_0,MAGNITUDE,15%,measured_by,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_CHANGE_0,CHANGE,declined,Article_1_DATE_RANGE_0,DATE_RANGE,2010 to 2020,occurs_during,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_PROCESS_0,PROCESS,deforestation,Article_1_DATE_RANGE_0,DATE_RANGE,2010 to 2020,happens_in,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_START_DATE_0,START_DATE,2010,Article_1_END_DATE_0,END_DATE,2020,precedes,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_START_DATE_0,START_DATE,2010,Article_1_DATE_RANGE_0,DATE_RANGE,2010 to 2020,starts,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
